month,date,vol,vol_unadj,credit_score_group
60,2005-01,139135788.053292,116224032,Deep subprime
60,2005-01,214761789.586127,168680736,Subprime
60,2005-01,33874521642.9442,26683744560,Super-prime
60,2005-01,3460500004.08195,2826985368,Prime
60,2005-01,592964810.616417,493670376,Near-prime
61,2005-02,123562931.306834,127485120,Deep subprime
61,2005-02,12926967717.165,9496122504,Super-prime
61,2005-02,1937633332.19658,1533856680,Prime
61,2005-02,207938912.128676,180404184,Subprime
61,2005-02,522996713.013969,428880624,Near-prime
62,2005-03,13284376944.1685,11781860952,Super-prime
62,2005-03,144223677.116392,159992856,Deep subprime
62,2005-03,2085425863.26206,1946080920,Prime
62,2005-03,215804135.442414,219890760,Subprime
62,2005-03,566250029.70846,538066128,Near-prime
63,2005-04,143244476.621414,135664944,Deep subprime
63,2005-04,1820049896.81324,1709830536,Prime
63,2005-04,216150588.808005,193747656,Subprime
63,2005-04,549707100.469606,515487216,Near-prime
63,2005-04,7863602287.17123,7060904400,Super-prime
64,2005-05,145898560.414051,140208216,Deep subprime
64,2005-05,1808222730.67696,1920720384,Prime
64,2005-05,204718465.971299,205490712,Subprime
64,2005-05,541857318.092406,551966984,Near-prime
64,2005-05,8932368086.79419,9416296632,Super-prime
65,2005-06,141655690.418732,135455856,Deep subprime
65,2005-06,1696876534.86998,1597111152,Prime
65,2005-06,218180688.072337,205656264,Subprime
65,2005-06,526975995.305793,506715312,Near-prime
65,2005-06,6394460254.38188,6509857368,Super-prime
66,2005-07,133112296.3981,117919488,Deep subprime
66,2005-07,1601265762.94548,1573071336,Prime
66,2005-07,210504907.622503,204463392,Subprime
66,2005-07,505665218.976015,495216192,Near-prime
66,2005-07,5970462456.19338,5724110712,Super-prime
67,2005-08,138423461.876213,137238480,Deep subprime
67,2005-08,1591193909.44102,1576681728,Prime
67,2005-08,211485169.406292,215773488,Subprime
67,2005-08,531838992.710829,530133792,Near-prime
67,2005-08,5913221994.32132,5586079904,Super-prime
68,2005-09,144317797.931844,133850832,Deep subprime
68,2005-09,1627568193.1291,1506971208,Prime
68,2005-09,218507818.996766,202023648,Subprime
68,2005-09,523622953.974718,484706016,Near-prime
68,2005-09,6188939262.1145,5834833944,Super-prime
69,2005-10,146718094.493022,136446240,Deep subprime
69,2005-10,1787177635.06621,1790321496,Prime
69,2005-10,218664267.268225,210416184,Subprime
69,2005-10,543352017.246591,548781888,Near-prime
69,2005-10,7630352671.37382,8124104976,Super-prime
70,2005-11,154884860.246517,181868736,Deep subprime
70,2005-11,1551250677.72022,1948864392,Prime
70,2005-11,224806358.949347,276933528,Subprime
70,2005-11,536715231.574202,659065200,Near-prime
70,2005-11,5628407334.49962,7175042424,Super-prime
71,2005-12,151416520.235818,189438600,Deep subprime
71,2005-12,1673555793.40081,2280420144,Prime
71,2005-12,220400221.986335,298960920,Subprime
71,2005-12,556064843.081696,745723752,Near-prime
71,2005-12,7514589082.31766,10819230048,Super-prime
72,2006-01,157136981.894596,131436192,Deep subprime
72,2006-01,1718107180.94952,1368605256,Prime
72,2006-01,234341623.536793,186182784,Subprime
72,2006-01,569771987.807878,466392384,Near-prime
72,2006-01,6856182046.1313,5242003656,Super-prime
73,2006-02,158618503.119396,163083600,Deep subprime
73,2006-02,1662944915.73107,1319732928,Prime
73,2006-02,234858494.359529,203877696,Subprime
73,2006-02,558592664.230948,458417904,Near-prime
73,2006-02,6609568333.11929,4868032680,Super-prime
74,2006-03,1687503454.12439,1571897208,Prime
74,2006-03,175133410.450939,193975872,Deep subprime
74,2006-03,247836480.675248,246289848,Subprime
