month,date,vol,vol_unadj,age_group
60,2005-01,11304798914.109,8862723768,Age 65 and older
60,2005-01,17637870550.8566,13482749232,Age 45-64
60,2005-01,1777005130.73725,1364440968,Younger than 30
60,2005-01,8221390506.57698,6517073832,Age 30-44
61,2005-02,1202986060.48391,939241488,Younger than 30
61,2005-02,3474536298.95095,2685794544,Age 65 and older
61,2005-02,3872892724.28283,2979692352,Age 30-44
61,2005-02,7192753151.31111,5220144240,Age 45-64
62,2005-03,1316966074.35859,1184683536,Younger than 30
62,2005-03,3306702096.50641,3102398760,Age 65 and older
62,2005-03,4058606855.59001,3706114320,Age 30-44
62,2005-03,7522127279.64629,6742490880,Age 45-64
63,2005-04,1273432932.58388,1152467328,Younger than 30
63,2005-04,1595665900.99321,1561303296,Age 65 and older
63,2005-04,3118086873.38653,2920325808,Age 30-44
63,2005-04,4476725025.73772,4067374800,Age 45-64
64,2005-05,1239709728.68637,1311499896,Younger than 30
64,2005-05,2506421933.52394,2574896424,Age 65 and older
64,2005-05,3109840880.39355,3308672640,Age 30-44
64,2005-05,4991281858.71382,5128315160,Age 45-64
65,2005-06,1214699554.47053,1139214280,Younger than 30
65,2005-06,1455427459.59087,1537478112,Age 65 and older
65,2005-06,2869382126.25826,2677041048,Age 30-44
65,2005-06,3678076947.74281,3714910632,Age 45-64
66,2005-07,1089551143.52231,1049994240,Age 65 and older
66,2005-07,1204957763.49155,1196122272,Younger than 30
66,2005-07,2702982226.54981,2600719440,Age 30-44
66,2005-07,3456461357.65301,3350202480,Age 45-64
67,2005-08,1059006403.67899,1006030152,Age 65 and older
67,2005-08,1223805329.92703,1266969360,Younger than 30
67,2005-08,2697593115.968,2605405016,Age 30-44
67,2005-08,3402095300.28212,3262883352,Age 45-64
68,2005-09,1143065760.74188,1149743040,Age 65 and older
68,2005-09,1211222521.19698,1170543312,Younger than 30
68,2005-09,2780257135.73112,2579264960,Age 30-44
68,2005-09,3488787736.99538,3360544176,Age 45-64
69,2005-10,1345060096.19751,1342377000,Age 65 and older
69,2005-10,1476555961.26633,1524128760,Younger than 30
69,2005-10,3293226164.28223,3370933584,Age 30-44
69,2005-10,4480431102.92468,4664192568,Age 45-64
70,2005-11,1136800179.31194,1385241120,Age 65 and older
70,2005-11,1161987655.29901,1483847448,Younger than 30
70,2005-11,2543684014.39234,3275148552,Age 30-44
70,2005-11,3381301952.73123,4222700448,Age 45-64
71,2005-12,1249379898.17467,1685309688,Younger than 30
71,2005-12,1336403186.15005,1743698736,Age 65 and older
