month,date,vol,vol_unadj,income_level_group
60,2005-01,12640313135.5434,10079524344,High
60,2005-01,17846050462.4456,14047287744,Middle
60,2005-01,5219468550.45992,4036062048,Moderate
60,2005-01,768648235.813594,594872904,Low
61,2005-02,2365281571.0688,1860010224,Moderate
61,2005-02,387527706.276561,320105952,Low
61,2005-02,5220349302.7075,3895905480,High
61,2005-02,6955463315.77975,5217034632,Middle
62,2005-03,2239192423.46532,2014291128,Moderate
62,2005-03,353780062.482424,317811912,Low
62,2005-03,5643561133.76523,5120891232,High
62,2005-03,7175495137.68392,6606632088,Middle
63,2005-04,1405898540.23344,1339555224,Moderate
63,2005-04,232098247.597802,217256664,Low
63,2005-04,3827872680.25088,3567088656,High
63,2005-04,4254048111.58281,4087690272,Middle
64,2005-05,1765070935.62986,1835255768,Moderate
64,2005-05,318108891.967869,323125512,Low
64,2005-05,3837503484.36779,4093966272,High
64,2005-05,5342502373.64015,5400627120,Middle
65,2005-06,1287523330.15739,1251866640,Moderate
65,2005-06,228392903.966734,229102320,Low
65,2005-06,3427600780.99417,3276726504,High
65,2005-06,3940301140.97838,3819645904,Middle
66,2005-07,1162862483.42071,1150357416,Moderate
66,2005-07,194575734.198578,193915704,Low
66,2005-07,3214551391.23419,3008606448,High
66,2005-07,3457373725.63867,3390352752,Middle
67,2005-08,1149931801.66311,1116376560,Moderate
67,2005-08,200378400.481615,201071808,Low
67,2005-08,3151742756.32301,2945107952,High
67,2005-08,3479895110.99838,3407686776,Middle
68,2005-09,1205733221.25312,1139977488,Moderate
68,2005-09,215668706.741628,202603776,Low
68,2005-09,3244176835.65595,3059823008,High
68,2005-09,3690011767.46206,3371182176,Middle
69,2005-10,1390979358.14051,1427581560,Moderate
69,2005-10,227327521.147781,232078224,Low
69,2005-10,3932214954.68112,4138714800,High
69,2005-10,4451383599.45819,4634384832,Middle
70,2005-11,1125949250.81128,1412306760,Moderate
70,2005-11,211090774.771052,260849712,Low
70,2005-11,2945271608.1621,3754705032,High
70,2005-11,3470606168.19068,4427896080,Middle
71,2005-12,1322183141.4254,1841091192,Moderate
71,2005-12,222289784.235463,300943512,Low
71,2005-12,3841659244.97242,5600117136,High
71,2005-12,4315903061.12708,6107005152,Middle
72,2006-01,1322412166.34979,1003329552,Moderate
72,2006-01,240886427.335891,182544264,Low
72,2006-01,3568944439.65517,2782753632,High
72,2006-01,4122499214.6215,3172024008,Middle
73,2006-02,1281751816.17823,1006045896,Moderate
73,2006-02,222111793.887828,183323112,Low
73,2006-02,3449545179.11151,2582687280,High
73,2006-02,3957066785.07776,2976371328,Middle
74,2006-03,1322560947.3071,1191005232,Moderate
74,2006-03,236562473.01995,212622264,Low
74,2006-03,3265286466.52296,2959902744,High
74,2006-03,3902487646.68073,3586928976,Middle
75,2006-04,1332205191.47448,1288523208,Moderate
75,2006-04,238100304.095261,225415560,Low
75,2006-04,3522528536.56838,3338928432,High
75,2006-04,4076116317.6562,3982589688,Middle
76,2006-05,1279220966.1611,1306471680,Moderate
76,2006-05,232313309.119479,233284560,Low
76,2006-05,3246975526.19706,3379630224,High
76,2006-05,3940291516.64546,3908710392,Middle
77,2006-06,1327194620.26728,1288797912,Moderate
77,2006-06,227120831.398921,227242968,Low
77,2006-06,3495388992.28662,3346361352,High
77,2006-06,4050950180.07022,3918943704,Middle
78,2006-07,1283999569.70366,1273691928,Moderate
78,2006-07,232552725.982336,231516024,Low
78,2006-07,3308432541.68955,3118210752,High
78,2006-07,3772051490.97577,3707101488,Middle
79,2006-08,1316079109.51445,1281260424,Moderate
79,2006-08,212242716.63122,213210720,Low
79,2006-08,3352140051.20271,3133775616,High
79,2006-08,3942031510.18597,3861401760,Middle
80,2006-09,1389393544.35783,1341017496,Moderate
80,2006-09,261626759.127961,251587464,Low
80,2006-09,3688338195.49196,3577927440,High
80,2006-09,4370816868.91228,4093223064,Middle
81,2006-10,1319430133.54731,1331686200,Moderate
81,2006-10,235437289.674832,235961952,Low
81,2006-10,3335794887.83079,3432583800,High
81,2006-10,3930500291.57218,4016457624,Middle
82,2006-11,1347669246.70313,1685694456,Moderate
82,2006-11,239480908.003044,296214816,Low
82,2006-11,3579127735.96498,4534891632,High
82,2006-11,4152124581.66454,5300675592,Middle
83,2006-12,1338241974.00545,1899220120,Moderate
83,2006-12,227593041.552279,314020800,Low
83,2006-12,3507035236.6308,5215965600,High
83,2006-12,4121874081.5127,5942080128,Middle
84,2007-01,1315957897.32327,982016448,Moderate
84,2007-01,228511842.931684,169585464,Low
84,2007-01,3333470869.89187,2550653880,High
84,2007-01,3981631880.87479,2994869328,Middle
85,2007-02,1340503894.48783,1046852472,Moderate
85,2007-02,225855006.978278,185201736,Low
85,2007-02,3467404495.54057,2614510056,High
85,2007-02,4035776549.26401,3049410336,Middle
86,2007-03,1484360437.24016,1363363728,Moderate
86,2007-03,257459966.444802,236400528,Low
86,2007-03,3775216286.90443,3486146736,High
86,2007-03,4710940502.7851,4392983424,Middle
87,2007-04,1306173373.20891,1227993144,Moderate
87,2007-04,230529769.164304,212176152,Low
87,2007-04,3337823046.55409,3072256176,High
87,2007-04,3964074730.30485,3765820560,Middle
88,2007-05,1342975985.73668,1373316768,Moderate
88,2007-05,224959830.281544,227578536,Low
88,2007-05,3469202238.16095,3583499064,High
88,2007-05,4079672609.60695,4065789888,Middle
89,2007-06,1672199495.77454,1644001560,Moderate
89,2007-06,293113164.86096,295733208,Low
89,2007-06,4348134797.57658,4258987248,High
89,2007-06,5038983140.35934,4947993792,Middle
90,2007-07,1356697854.64329,1336067112,Moderate
90,2007-07,242659842.9723,238307952,Low
90,2007-07,3418297641.12124,3203140656,High
90,2007-07,4139453141.36883,4010508240,Middle
91,2007-08,1330822434.78995,1306585008,Moderate
91,2007-08,236779031.713511,239599200,Low
91,2007-08,3462091906.17804,3256191888,High
91,2007-08,4017744058.17695,3942637008,Middle
92,2007-09,1246940554.11481,1230585000,Moderate
92,2007-09,212144866.637993,208942176,Low
92,2007-09,3144508861.15763,3152053776,High
92,2007-09,3910094401.07514,3776240472,Middle
93,2007-10,1240675495.24802,1233642576,Moderate
93,2007-10,206814784.270416,202459032,Low
93,2007-10,3182262161.98069,3198380448,High
93,2007-10,3799136320.32131,3807188736,Middle
94,2007-11,1258327552.96177,1569155136,Moderate
94,2007-11,215985303.304013,268400904,Low
94,2007-11,3126889226.18223,3930034152,High
94,2007-11,3664001616.79957,4682167200,Middle
95,2007-12,1172833617.18045,1650258528,Moderate
95,2007-12,211464467.186102,291624792,Low
95,2007-12,2979398475.40823,4390064784,High
95,2007-12,3598685097.70814,5154516384,Middle
96,2008-01,1165775714.23293,873085920,Moderate
96,2008-01,198922305.918887,147460320,Low
96,2008-01,2904143148.23888,2223712560,High
96,2008-01,3514724462.47493,2634178344,Middle
97,2008-02,1178261559.324,944466252,Moderate
97,2008-02,215925453.477267,180819312,Low
97,2008-02,2996788721.95995,2337941544,High
97,2008-02,3556763043.56563,2785044264,Middle
98,2008-03,1137810800.77007,1066737216,Moderate
98,2008-03,205152970.110615,192502008,Low
98,2008-03,2856731526.62139,2696720304,High
98,2008-03,3473114707.1101,3283062000,Middle
99,2008-04,1143858155.81027,1046739408,Moderate
99,2008-04,196928194.706653,176387040,Low
99,2008-04,2871593593.46599,2570336712,High
99,2008-04,3384403530.93789,3129418800,Middle
100,2008-05,1167268193.21494,1218582360,Moderate
100,2008-05,208253387.035133,215345976,Low
100,2008-05,2927354748.1853,3077428512,High
100,2008-05,3462202144.92372,3542644356,Middle
101,2008-06,1125262169.46982,1097065848,Moderate
101,2008-06,199560647.786331,199561152,Low
101,2008-06,2914705258.48581,2842464336,High
101,2008-06,3383730165.82161,3296057880,Middle
102,2008-07,1137149155.95484,1113883848,Moderate
102,2008-07,193600424.176705,187883040,Low
102,2008-07,2888266314.72739,2711450976,High
102,2008-07,3402442430.14733,3262159704,Middle
103,2008-08,1128163983.74739,1159236288,Moderate
103,2008-08,205372274.337358,216794736,Low
103,2008-08,2906537490.4578,2884785552,High
103,2008-08,3473215726.73605,3554227392,Middle
104,2008-09,1083125863.43303,1032283512,Moderate
104,2008-09,180453948.725828,172557408,Low
104,2008-09,2563452835.10373,2486370648,High
104,2008-09,3230408439.77018,3033184608,Middle
105,2008-10,1182730717.2996,1180451616,Moderate
105,2008-10,238148645.104027,231280824,Low
105,2008-10,2976333714.36766,2977779168,High
105,2008-10,3403455129.36366,3402360584,Middle
106,2008-11,1051789717.35519,1362807216,Moderate
106,2008-11,194602370.276516,252154392,Low
106,2008-11,2698402708.09964,3520112040,High
106,2008-11,3133634384.68576,4178656512,Middle
107,2008-12,1110261517.17958,1481867424,Moderate
107,2008-12,206014464.14474,272658840,Low
107,2008-12,2914189362.21669,4029067296,High
107,2008-12,3321019793.60151,4510893984,Middle
108,2009-01,1088982074.18912,836317608,Moderate
108,2009-01,194194257.427315,147130464,Low
108,2009-01,2830805033.8224,2221800576,High
