month,date,vol,vol_unadj,credit_score_group
60,2005-01,139136168.308336,116224032,Deep subprime
60,2005-01,215340290.343629,168680736,Subprime
60,2005-01,33899985268.519,26683744560,Super-prime
60,2005-01,3463166219.44257,2826985368,Prime
60,2005-01,593249565.675624,493670376,Near-prime
61,2005-02,123565804.596234,127485120,Deep subprime
61,2005-02,12926299764.5357,9496122504,Super-prime
61,2005-02,1937544005.61291,1533856680,Prime
61,2005-02,207849964.312589,180404184,Subprime
61,2005-02,523054947.563209,428880624,Near-prime
62,2005-03,13279072733.4687,11781860952,Super-prime
62,2005-03,144225779.196826,159992856,Deep subprime
62,2005-03,2084310721.81547,1946080920,Prime
62,2005-03,215285376.707443,219890760,Subprime
62,2005-03,566037829.590656,538066128,Near-prime
63,2005-04,143247441.440631,135664944,Deep subprime
63,2005-04,1821442047.65572,1709830536,Prime
63,2005-04,216574270.9283,193747656,Subprime
63,2005-04,549685503.911314,515487216,Near-prime
63,2005-04,7870616210.30373,7060904400,Super-prime
64,2005-05,145901935.23085,140208216,Deep subprime
64,2005-05,1808606035.8895,1920720384,Prime
64,2005-05,204614349.887471,205490712,Subprime
64,2005-05,541961049.33763,551966984,Near-prime
64,2005-05,8937562617.97502,9416296632,Super-prime
65,2005-06,141655802.660275,135455856,Deep subprime
65,2005-06,1696125994.0752,1597111152,Prime
65,2005-06,217757771.560687,205656264,Subprime
65,2005-06,526898522.881763,506715312,Near-prime
65,2005-06,6392518691.63006,6509857368,Super-prime
66,2005-07,133110131.469548,117919488,Deep subprime
66,2005-07,1602673811.90757,1573071336,Prime
66,2005-07,210469463.674492,204463392,Subprime
66,2005-07,505888839.777784,495216192,Near-prime
66,2005-07,5971643418.44979,5724110712,Super-prime
67,2005-08,138419968.75498,137238480,Deep subprime
67,2005-08,1590871617.07629,1576681728,Prime
67,2005-08,211647520.713641,215773488,Subprime
67,2005-08,531844464.231229,530133792,Near-prime
67,2005-08,5911310288.05376,5586079904,Super-prime
68,2005-09,144313243.253677,133850832,Deep subprime
68,2005-09,1626004308.64511,1506971208,Prime
68,2005-09,218581220.679267,202023648,Subprime
68,2005-09,523460440.011596,484706016,Near-prime
68,2005-09,6185066802.45068,5834833944,Super-prime
69,2005-10,146711781.989291,136446240,Deep subprime
69,2005-10,1788299406.30647,1790321496,Prime
69,2005-10,219426095.810056,210416184,Subprime
69,2005-10,543170265.49721,548781888,Near-prime
69,2005-10,7636500382.04752,8124104976,Super-prime
70,2005-11,154885620.18384,181868736,Deep subprime
70,2005-11,1550792071.50344,1948864392,Prime
70,2005-11,224146405.054422,276933528,Subprime
70,2005-11,536877301.921011,659065200,Near-prime
70,2005-11,5626374612.52581,7175042424,Super-prime
71,2005-12,151417888.101226,189438600,Deep subprime
71,2005-12,1673110519.5703,2280420144,Prime
71,2005-12,220562787.739434,298960920,Subprime
71,2005-12,555993756.407587,745723752,Near-prime
71,2005-12,7511133232.4648,10819230048,Super-prime
72,2006-01,157137696.782488,131436192,Deep subprime
72,2006-01,1718604230.53566,1368605256,Prime
72,2006-01,234087246.561709,186182784,Subprime
72,2006-01,569844934.032103,466392384,Near-prime
72,2006-01,6857447614.30363,5242003656,Super-prime
73,2006-02,158622536.888141,163083600,Deep subprime
73,2006-02,1662908106.57252,1319732928,Prime
73,2006-02,234749950.844428,203877696,Subprime
73,2006-02,558654475.488984,458417904,Near-prime
73,2006-02,6609390917.57938,4868032680,Super-prime
74,2006-03,1686595230.00839,1571897208,Prime
74,2006-03,175136371.367681,193975872,Deep subprime
74,2006-03,248696383.648035,246289848,Subprime
74,2006-03,618899445.710793,588287928,Near-prime
74,2006-03,6366734206.42766,5656926288,Super-prime
75,2006-04,1748440157.621,1677690264,Prime
75,2006-04,178222442.31731,168487128,Deep subprime
75,2006-04,243781500.580827,225823728,Subprime
75,2006-04,581943777.693736,552974832,Near-prime
75,2006-04,7071515463.12076,6526989792,Super-prime
76,2006-05,1617812325.08461,1679145552,Prime
76,2006-05,166515208.073913,160963104,Deep subprime
76,2006-05,240024637.667266,234429648,Subprime
76,2006-05,561831962.372034,564281568,Near-prime
76,2006-05,6396097112.56297,6547496256,Super-prime
77,2006-06,169076796.19806,161238240,Deep subprime
77,2006-06,1706443566.66521,1605933000,Prime
77,2006-06,235965329.777138,229872864,Subprime
77,2006-06,548586487.792001,526540800,Near-prime
77,2006-06,6529306569.87388,6621033288,Super-prime
78,2006-07,1688917724.0696,1658704944,Prime
78,2006-07,173530247.908655,155635560,Deep subprime
78,2006-07,246529912.652608,235332888,Subprime
78,2006-07,574149511.54677,561586368,Near-prime
78,2006-07,6298032397.5754,6090062976,Super-prime
79,2006-08,1683403345.58704,1667219952,Prime
79,2006-08,182563070.892817,179341368,Deep subprime
79,2006-08,243516438.554807,249756264,Subprime
79,2006-08,555192343.633747,551878872,Near-prime
79,2006-08,6597070947.12547,6238281120,Super-prime
80,2006-09,178757113.209173,165862224,Deep subprime
80,2006-09,1822636276.15944,1731941088,Prime
80,2006-09,237896203.347088,215822328,Subprime
80,2006-09,594759185.111915,560064768,Near-prime
80,2006-09,7227678243.46332,7030100736,Super-prime
81,2006-10,1721762364.73304,1689261384,Prime
81,2006-10,188820855.971343,175847112,Deep subprime
81,2006-10,254725595.448999,248813976,Subprime
81,2006-10,563181840.858222,561403128,Near-prime
81,2006-10,6483700703.97735,6691368960,Super-prime
82,2006-11,1736401336.79599,2180399328,Prime
82,2006-11,176454459.910376,207021456,Deep subprime
82,2006-11,245137383.387132,304941048,Subprime
82,2006-11,560793871.227812,691668240,Near-prime
82,2006-11,7009261382.00839,8872116552,Super-prime
83,2006-12,1700036955.88001,2370549168,Prime
83,2006-12,189031391.19824,235907376,Deep subprime
83,2006-12,249786142.292637,341665248,Subprime
83,2006-12,572106079.619356,780244552,Near-prime
83,2006-12,6833203392.80913,10099020720,Super-prime
84,2007-01,1685043832.42715,1308274344,Prime
84,2007-01,188112686.767616,158319936,Deep subprime
84,2007-01,252481112.24577,193386816,Subprime
84,2007-01,557811191.630549,447150840,Near-prime
84,2007-01,6505258682.37878,4847988768,Super-prime
85,2007-02,1698304029.41494,1353435072,Prime
85,2007-02,200369856.461591,205259496,Deep subprime
85,2007-02,263566038.830008,229674408,Subprime
85,2007-02,589026310.399377,484305168,Near-prime
85,2007-02,6641170330.34106,4910834256,Super-prime
86,2007-03,1863906311.2248,1771157928,Prime
86,2007-03,186815022.873641,205361544,Deep subprime
86,2007-03,261327999.411735,259382496,Subprime
86,2007-03,589360800.070495,567657384,Near-prime
86,2007-03,7722802036.93932,7059655584,Super-prime
87,2007-04,1693469773.86838,1584982368,Prime
87,2007-04,193707688.290829,183625824,Deep subprime
87,2007-04,264647653.543071,246364920,Subprime
87,2007-04,595974659.519382,556213176,Near-prime
87,2007-04,6698151154.96652,6064352616,Super-prime
88,2007-05,1726094390.31029,1786956600,Prime
88,2007-05,196080675.07389,191533344,Deep subprime
88,2007-05,270338696.627061,268791216,Subprime
88,2007-05,606959759.868519,610331304,Near-prime
88,2007-05,6678714325.59047,6819496944,Super-prime
89,2007-06,215180213.748925,204584784,Deep subprime
89,2007-06,2225431105.01433,2142886824,Prime
89,2007-06,276147239.005407,263477232,Subprime
89,2007-06,651177912.526445,633154416,Near-prime
89,2007-06,8159927888.69535,8404312920,Super-prime
90,2007-07,1778043101.72369,1713460584,Prime
90,2007-07,207493135.657257,189011328,Deep subprime
90,2007-07,283020827.458944,273153312,Subprime
90,2007-07,6675693198.00939,6378346752,Super-prime
90,2007-07,672316983.85587,648630696,Near-prime
91,2007-08,1680854615.30994,1664351496,Prime
91,2007-08,226717645.945796,220358784,Deep subprime
91,2007-08,279731468.329681,287088876,Subprime
91,2007-08,612162579.915395,604537872,Near-prime
91,2007-08,6717932200.97169,6381187656,Super-prime
92,2007-09,1568488794.88732,1530747312,Prime
92,2007-09,214366553.113586,197609136,Deep subprime
92,2007-09,269176651.450225,244686600,Subprime
92,2007-09,581078457.214045,555401040,Near-prime
92,2007-09,6247942098.04278,6288774432,Super-prime
93,2007-10,1490256034.26014,1433326944,Prime
93,2007-10,208858727.492238,194395776,Deep subprime
93,2007-10,254470831.84709,240711480,Subprime
93,2007-10,543577816.15332,533800632,Near-prime
93,2007-10,6365456540.43899,6361128600,Super-prime
94,2007-11,1493561120.86381,1874833152,Prime
94,2007-11,221815189.483075,260120472,Deep subprime
94,2007-11,252437499.013386,325734744,Subprime
94,2007-11,558506304.178959,696741720,Near-prime
94,2007-11,6129545438.29378,7698076752,Super-prime
95,2007-12,1450807811.2435,2017740816,Prime
95,2007-12,219046455.131972,273252480,Deep subprime
95,2007-12,250905256.190405,341059872,Subprime
95,2007-12,536159829.482288,733692720,Near-prime
95,2007-12,5844218394.35881,8549697216,Super-prime
96,2008-01,1393748963.00256,1078219752,Prime
96,2008-01,221639744.273384,187975080,Deep subprime
96,2008-01,241532584.972185,185682144,Subprime
96,2008-01,538997211.363114,426964584,Near-prime
96,2008-01,5698620476.1743,4255685712,Super-prime
97,2008-02,1389773493.86313,1146730800,Prime
97,2008-02,231480763.179078,211841028,Subprime
97,2008-02,237559725.276542,242880720,Deep subprime
97,2008-02,513511063.914768,436645848,Near-prime
97,2008-02,5855976387.22211,4479913272,Super-prime
98,2008-03,1339929149.36605,1296292944,Prime
98,2008-03,181702899.972845,197353848,Deep subprime
98,2008-03,217062331.947077,220684608,Subprime
98,2008-03,481118467.783851,469735680,Near-prime
98,2008-03,5707513354.75145,5371728888,Super-prime
99,2008-04,1350351361.82304,1234370688,Prime
99,2008-04,201796862.094216,192958272,Deep subprime
99,2008-04,213125701.626802,185839272,Subprime
99,2008-04,469331354.286852,430682016,Near-prime
99,2008-04,5830295826.60203,5183645304,Super-prime
100,2008-05,1342240434.18926,1418238648,Prime
100,2008-05,225305487.574584,228251856,Subprime
100,2008-05,299231825.674103,294948192,Deep subprime
100,2008-05,463274046.29177,472969488,Near-prime
100,2008-05,5758863416.24533,6050427372,Super-prime
101,2008-06,1286585101.2463,1236664032,Prime
101,2008-06,202725630.016453,196527408,Subprime
101,2008-06,254948634.861581,242086992,Deep subprime
101,2008-06,466785771.736705,452643912,Near-prime
101,2008-06,5599683444.42551,5685499488,Super-prime
102,2008-07,1291480315.77826,1224618936,Prime
102,2008-07,201164056.002613,187634400,Subprime
102,2008-07,240633705.174355,221920080,Deep subprime
102,2008-07,457568461.543257,435143280,Near-prime
102,2008-07,5890670549.99007,5584758816,Super-prime
103,2008-08,1330674835.33826,1377798648,Prime
103,2008-08,214718049.689972,221349216,Subprime
103,2008-08,227289720.326364,218662416,Deep subprime
103,2008-08,485586153.088366,491729856,Near-prime
103,2008-08,5873866697.41954,5931799680,Super-prime
104,2008-09,1230821672.16817,1153097232,Prime
104,2008-09,210206420.444904,191127816,Subprime
104,2008-09,250147073.99252,227701224,Deep subprime
104,2008-09,460620688.271924,425626056,Near-prime
104,2008-09,5333498734.64952,5118934608,Super-prime
105,2008-10,1304906889.43082,1255971272,Prime
105,2008-10,249920546.116115,239378856,Subprime
105,2008-10,456220149.74258,423222864,Deep subprime
105,2008-10,462482946.817644,452420064,Near-prime
105,2008-10,5824302324.1884,5785707504,Super-prime
106,2008-11,1234195782.90861,1625213232,Prime
106,2008-11,162502735.693755,191098296,Deep subprime
106,2008-11,191303811.765693,244931664,Subprime
106,2008-11,414500830.765574,540889488,Near-prime
106,2008-11,5425408127.99813,7159759872,Super-prime
107,2008-12,1278926499.7497,1687711560,Prime
107,2008-12,167162966.0694,209338248,Deep subprime
107,2008-12,188765717.430512,254470920,Subprime
107,2008-12,419916585.98241,559475928,Near-prime
107,2008-12,5932303246.46719,8029018728,Super-prime
108,2009-01,1236145169.50425,977653584,Prime
108,2009-01,160511760.24748,136834728,Deep subprime
108,2009-01,178341716.35075,138505104,Subprime
108,2009-01,416364204.661128,331124640,Near-prime
108,2009-01,5675053243.22525,4385075536,Super-prime
109,2009-02,1222491204.31393,987123528,Prime
109,2009-02,155309094.564681,158643000,Deep subprime
109,2009-02,173865344.215405,152651904,Subprime
109,2009-02,386115546.722657,320043936,Near-prime
109,2009-02,5689049018.63802,4282705536,Super-prime
110,2009-03,1202765314.85182,1130454696,Prime
110,2009-03,168106874.087173,180901728,Deep subprime
110,2009-03,169190580.871926,169597728,Subprime
110,2009-03,404717960.102739,388193496,Near-prime
110,2009-03,5809541072.59112,5303171616,Super-prime
111,2009-04,1138519261.96582,1044413592,Prime
111,2009-04,163140376.318406,157731264,Deep subprime
111,2009-04,168018379.820125,151612776,Subprime
111,2009-04,379979446.526553,349927224,Near-prime
111,2009-04,5236939188.11451,4741207536,Super-prime
112,2009-05,1135077257.02662,1223186392,Prime
112,2009-05,168921599.328997,167526864,Deep subprime
112,2009-05,171916735.394607,175345152,Subprime
112,2009-05,387114255.199306,399944664,Near-prime
112,2009-05,5392792460.20244,5839317992,Super-prime
113,2009-06,1112318887.88246,1040616456,Prime
113,2009-06,159767068.732384,151191024,Deep subprime
113,2009-06,167885179.349964,161081964,Subprime
113,2009-06,359876747.176519,342110472,Near-prime
113,2009-06,5422896599.43237,5258302944,Super-prime
114,2009-07,1053480232.09614,1007143704,Prime
114,2009-07,153942376.736808,142351608,Subprime
114,2009-07,175743823.487124,163039632,Deep subprime
114,2009-07,353620367.072214,336512400,Near-prime
114,2009-07,5187398976.74765,5034254184,Super-prime
115,2009-08,1024138811.96251,1059188352,Prime
115,2009-08,149901995.732705,150878832,Subprime
115,2009-08,151850753.533928,144195816,Deep subprime
115,2009-08,348417620.968509,350678208,Near-prime
115,2009-08,4929609392.99923,5017223880,Super-prime
116,2009-09,1089086760.72305,1022172096,Prime
