fips_code,state_abbr,value
1,AL,0.129451813082075
2,AK,-0.581031669196636
4,AZ,0.514255402891564
5,AR,0.140579781475496
6,CA,-0.0455328519819413
8,CO,0.960616493036572
9,CT,-0.20801268343821
10,DE,-0.0515572882946231
11,DC,0.0857407827128607
12,FL,0.0738117875624438
13,GA,0.161448240489029
15,HI,0.529315532487824
16,ID,0.569809259011259
17,IL,0.183906392522448
18,IN,0.151509965656796
19,IA,-0.370179235321562
20,KS,0.0519935929281701
21,KY,-0.288892003942235
22,LA,0.313453894321132
23,ME,-0.567389316505405
24,MD,-0.186513416750063
25,MA,0.291930210656263
26,MI,0.0253481985064214
27,MN,-0.362524087474848
28,MS,0.382894698416455
29,MO,0.0313137135678723
30,MT,-0.513838111082238
31,NE,0.3919974392476
32,NV,0.52421421669489
33,NH,-0.0464540860228971
34,NJ,-0.173169895538122
35,NM,0.376421022170487
36,NY,0.00485115992742102
37,NC,-0.188464781000069
38,ND,0.259531226436082
39,OH,0.049043248709902
40,OK,-0.148768313610689
41,OR,-0.00445367420389631
42,PA,-0.130814341850805
44,RI,0.618118249296895
45,SC,0.135775109810852
46,SD,0.148286566839117
47,TN,-0.0671089039462236
48,TX,0.244629924555808
49,UT,0.155624996090004
50,VT,-0.450702876062267
51,VA,0.188390021323658
53,WA,0.131828745792952
54,WV,0.140994544654801
55,WI,0.10502344318477
56,WY,-0.297603482634702
