month,date,num,num_unadj
60,2005-01,1298924.68427004,1082952
61,2005-02,1355158.02256472,915840
62,2005-03,1335571.18099413,819960
63,2005-04,1368546.33818626,740772
64,2005-05,1396102.35249042,960204
65,2005-06,1552538.32696842,1182120
66,2005-07,1521889.15689521,1179624
67,2005-08,1449205.98347639,3677880
68,2005-09,1529058.80158801,3200124
69,2005-10,1589548.27564988,1812348
70,2005-11,1592851.60232754,1254384
71,2005-12,1568312.13340211,902640
72,2006-01,1440023.23856312,1257996
73,2006-02,1475706.14782672,1009872
74,2006-03,1501115.53153388,929520
75,2006-04,1488608.83619619,779904
76,2006-05,1701946.40487187,1218984
77,2006-06,1946472.72444612,1468416
78,2006-07,1913138.68146482,1469148
79,2006-08,1622383.92585728,4090488
80,2006-09,1538454.01662419,3086544
81,2006-10,1485390.40578145,1774128
82,2006-11,1545377.53550231,1214064
83,2006-12,1571835.92124123,867240
84,2007-01,1538413.22959872,1417392
85,2007-02,1440933.04580243,1005264
86,2007-03,1535745.51885625,926328
87,2007-04,1547535.50825968,851520
88,2007-05,1532012.06442749,1098000
89,2007-06,1473787.65501535,1051560
90,2007-07,1553809.52826527,1216968
91,2007-08,1618143.49353215,4049220
92,2007-09,1559265.70010885,3023664
93,2007-10,1386231.08413056,1734984
94,2007-11,1436906.70018758,1119528
95,2007-12,1404999.19329968,762144
96,2008-01,1475029.68209481,1384464
97,2008-02,1495495.93280789,1107912
98,2008-03,1489655.56494262,869664
99,2008-04,1452958.25936352,842472
100,2008-05,1426921.81016985,989376
101,2008-06,1328834.62191545,926688
102,2008-07,1629782.24286201,1294704
103,2008-08,1783103.28384637,4137336
104,2008-09,1846209.04005534,3920784
105,2008-10,2151401.31311704,2688456
106,2008-11,2092731.30940484,1482048
107,2008-12,2272638.85978331,1289316
108,2009-01,2261602.60794812,2075352
109,2009-02,2385249.64447249,1698336
110,2009-03,2384541.97233608,1440288
111,2009-04,2304052.57570743,1345800
112,2009-05,2364419.2977042,1588584
113,2009-06,2082362.06522764,1488984
114,2009-07,1865774.01490387,1447104
115,2009-08,2001253.98347778,4680000
116,2009-09,2024319.96002348,4404600
117,2009-10,2411998.97418475,2877792
118,2009-11,2509359.44760765,1784904
119,2009-12,2485204.64771456,1352688
120,2010-01,2389350.03925226,2127216
121,2010-02,2478431.03444864,1753896
122,2010-03,2560613.68164146,1577952
123,2010-04,2255395.84737909,1312392
124,2010-05,1896819.21667234,1292016
125,2010-06,1945541.86616334,1387056
126,2010-07,1493226.39653108,1092792
127,2010-08,1607044.88164026,3971088
128,2010-09,1722858.93948128,3859992
129,2010-10,1660935.59918331,1867656
130,2010-11,1606527.38200886,1141128
131,2010-12,1444007.67835387,752012
132,2011-01,1538216.041464,1366776
133,2011-02,1499419.09337605,1045920
134,2011-03,1571353.78274924,944880
135,2011-04,1823381.77109929,1005144
136,2011-05,1827358.39279836,1304160
137,2011-06,1773435.9800879,1273488
138,2011-07,1830799.07387256,1270488
139,2011-08,1952837.8931219,5125464
140,2011-09,1823853.2273849,4217544
141,2011-10,1605257.06246236,1750848
142,2011-11,1599572.66359064,1089648
143,2011-12,1651375.46313283,795408
144,2012-01,1678730.09532365,1541784
145,2012-02,1602210.59115754,1145088
146,2012-03,1695257.75353033,954768
147,2012-04,1683698.40377521,904824
148,2012-05,1821123.21462478,1359216
149,2012-06,2040225.30981897,1410408
150,2012-07,1939656.988422,1377144
151,2012-08,1673212.87472679,4519416
152,2012-09,1611738.24530512,3554016
153,2012-10,1546332.33434287,1750200
154,2012-11,1397611.50392863,912024
155,2012-12,1417951.21006918,639864
156,2013-01,1426858.15724622,1358160
157,2013-02,1409561.40634056,946512
158,2013-03,1307742.82281805,696144
159,2013-04,1274840.03267838,689592
160,2013-05,1247958.28956856,930336
161,2013-06,1274442.47056082,844200
162,2013-07,1116536.29818407,810768
163,2013-08,1235156.67906655,3282888
164,2013-09,1250319.90117589,2920536
165,2013-10,1213800.10138253,1339800
166,2013-11,1227227.58835123,746208
167,2013-12,1179095.05181524,547512
168,2014-01,1186819.69251394,1131432
169,2014-02,1200530.94835293,800832
170,2014-03,1196316.47021347,629688
171,2014-04,1170548.35351911,615072
172,2014-05,1125725.8012539,806208
173,2014-06,1145138.61030417,777816
174,2014-07,1142558.17993601,815880
175,2014-08,1154502.66853738,2993376
176,2014-09,1142956.39882873,2803896
177,2014-10,1062239.37728778,1159200
178,2014-11,1160429.85598771,668472
179,2014-12,1152315.25708832,558312
180,2015-01,1100478.83916001,1014504
181,2015-02,1099546.32841472,733872
182,2015-03,1090779.07005851,594864
183,2015-04,1048775.15872508,540696
184,2015-05,1076578.37632398,736464
185,2015-06,1051705.88446399,731256
186,2015-07,1060825.89722814,747384
187,2015-08,1038286.28153765,2705208
188,2015-09,1049737.13025834,2593128
189,2015-10,1031358.97186128,1082280
190,2015-11,983292.853488194,586632
191,2015-12,1029723.19903144,502488
192,2016-01,1039039.99839695,926311.270830743
193,2016-02,1001734.4012074,700100.27911122
194,2016-03,991732.876682592,560450.229417365
195,2016-04,986192.996895082,484591.959588855
196,2016-05,991646.63263003,701210.699672676
197,2016-06,964131.570372116,661230.391314815
198,2016-07,976597.876725384,631990.486881313
199,2016-08,1020263.77645545,2878419.04945904
200,2016-09,1019507.86615565,2529253.69914355
201,2016-10,1032113.06945969,1041999.07738138
202,2016-11,1041529.30052518,643447.716900394
