month,date,vol,vol_unadj
60,2005-01,10312396972.5318,7449143496
61,2005-02,10922292210.2064,6330406680
62,2005-03,11535522890.5043,6825925392
63,2005-04,11796731339.6627,6440963640
64,2005-05,11944107187.2681,7859544784
65,2005-06,14396130405.8517,12166102992
66,2005-07,14609547997.8304,14712799848
67,2005-08,11603010073.9328,31354665828
68,2005-09,12155176730.1832,23450482176
69,2005-10,14559333974.3746,15126007708
70,2005-11,15052737464.9123,11850822540
71,2005-12,15074262325.7136,9132819876
72,2006-01,12383665297.2561,9402187248
73,2006-02,13618240333.7471,8017160872
74,2006-03,14354925644.9813,8473513744
75,2006-04,15274003353.4662,8062519364
76,2006-05,18701288768.1859,12605281536
77,2006-06,20000189879.9494,16681941012
78,2006-07,18066386679.2374,17716052388
79,2006-08,12088289946.878,32830937760
80,2006-09,12091806874.7226,22781341884
81,2006-10,12783060314.3882,13795786272
82,2006-11,13780691498.4013,10694034048
83,2006-12,13048411499.8256,7621736400
84,2007-01,12387204773.941,9974908452
85,2007-02,11738507849.4387,7053811032
86,2007-03,12823216856.7636,7332761760
87,2007-04,12701331210.7099,6851396952
88,2007-05,11198254469.7366,7500035472
89,2007-06,11371544905.3753,8934074136
90,2007-07,10778504815.8117,10316401656
91,2007-08,11134010158.1086,30701044968
92,2007-09,11670228855.6992,21800323308
93,2007-10,9625251848.61379,10767935160
94,2007-11,10425901045.8311,7837426224
95,2007-12,9866789479.70251,5627732784
96,2008-01,10557920763.0439,8772616920
97,2008-02,10653582843.8368,6786991632
98,2008-03,9431759777.12244,5232217176
99,2008-04,9085571521.54517,5046196320
100,2008-05,8926212684.00186,5827834104
101,2008-06,7358971743.5819,5569370064
102,2008-07,9967568626.78975,9237322680
103,2008-08,11907722550.7715,31585770144
104,2008-09,12470273997.6858,25219088192
105,2008-10,13821999788.334,15488480640
106,2008-11,12070245583.4349,8279725512
107,2008-12,13458720000.0404,7900552836
108,2009-01,14197625371.8224,11737666656
109,2009-02,13740832898.6115,8466262320
110,2009-03,13190669152.9073,7494466848
111,2009-04,13075272819.3274,7250579088
112,2009-05,13235801447.3763,8538005088
113,2009-06,10148916830.9641,7652546532
114,2009-07,12087918201.135,10658180544
115,2009-08,12868932572.9303,34778640120
116,2009-09,12898252349.3368,26537935544
117,2009-10,14441272894.9477,15714804248
118,2009-11,14412066546.5211,9725454312
119,2009-12,14050146404.2875,8054524440
120,2010-01,14111442535.8081,11460634884
121,2010-02,14219604191.0721,8770437600
122,2010-03,14179144717.0899,8269086792
123,2010-04,13492003719.8736,7496428368
124,2010-05,11876284136.8785,7912906368
125,2010-06,11774098467.3064,8739740524
126,2010-07,10520019989.7298,8813676080
127,2010-08,11597681312.4052,32654255832
128,2010-09,12366406988.4827,25542966396
129,2010-10,11833475082.697,12338322916
130,2010-11,11118470992.5285,7519699488
131,2010-12,10697623668.9826,6114709616
132,2011-01,11596010943.5656,9342320232
133,2011-02,11693683947.4139,7178279376
134,2011-03,11208185650.0811,6586875480
135,2011-04,15818980666.7068,8631655344
136,2011-05,13670763623.2717,9663502128
137,2011-06,12329275642.9512,9114792720
138,2011-07,13092347361.4421,10703781456
139,2011-08,12677892048.8143,36972333956
140,2011-09,11722309758.3887,24115203612
