month,date,vol,vol_unadj,age_group
60,2005-01,1895306867.46309,1311243624,Age 45-64
60,2005-01,3062687480.51352,2675647032,Age 30-44
60,2005-01,5214710480.23645,3388035504,Younger than 30
60,2005-01,60138335.8067824,41286264,Age 65 and older
61,2005-02,2115887591.6832,1301880048,Age 45-64
61,2005-02,3190619004.72605,2251030080,Age 30-44
61,2005-02,5479710736.32354,2690153376,Younger than 30
61,2005-02,87306598.8284616,57363984,Age 65 and older
62,2005-03,2265972344.93259,1634912760,Age 45-64
62,2005-03,3164430185.59858,2408838864,Age 30-44
62,2005-03,5953400223.12227,2711964240,Younger than 30
62,2005-03,82149383.1141726,40232472,Age 65 and older
63,2005-04,2288417440.92986,1536838944,Age 45-64
63,2005-04,3269313508.1275,2317761120,Age 30-44
63,2005-04,5709836036.6683,2491521936,Younger than 30
63,2005-04,90871762.2320443,62962992,Age 65 and older
64,2005-05,2547255172.77904,1667836336,Age 45-64
64,2005-05,3398777723.39334,2640466800,Age 30-44
64,2005-05,5997985451.74749,3463391016,Younger than 30
64,2005-05,93384370.6668757,63799896,Age 65 and older
65,2005-06,105647230.263787,84046968,Age 65 and older
65,2005-06,2682281758.03293,2138869464,Age 45-64
65,2005-06,3723928360.36035,3966983592,Age 30-44
65,2005-06,7717783617.99372,5938848768,Younger than 30
66,2005-07,2843104105.90689,2712725760,Age 45-64
66,2005-07,4399399016.46751,4477967112,Age 30-44
66,2005-07,7082303746.47337,7380936360,Younger than 30
66,2005-07,84083745.1184826,84511632,Age 65 and older
67,2005-08,2281589566.89888,6189174348,Age 45-64
67,2005-08,3600843114.51527,6995727024,Age 30-44
67,2005-08,6123506894.44286,17816102832,Younger than 30
67,2005-08,87941564.4549559,221902104,Age 65 and older
68,2005-09,2357154949.04538,4726736364,Age 45-64
68,2005-09,3738366812.99729,5774391624,Age 30-44
68,2005-09,5932333793.1876,12621938820,Younger than 30
68,2005-09,98120043.902997,203608896,Age 65 and older
69,2005-10,112607316.322833,117129216,Age 65 and older
69,2005-10,2622381672.58303,2638358016,Age 45-64
69,2005-10,4271756745.26949,4549682616,Age 30-44
69,2005-10,7203527816.44317,7749648148,Younger than 30
70,2005-11,122647084.067473,82139208,Age 65 and older
70,2005-11,2715983694.55499,1849036836,Age 45-64
70,2005-11,4450650891.5513,3723648336,Age 30-44
70,2005-11,6978029066.76029,6152743776,Younger than 30
71,2005-12,2645066472.85984,1374239196,Age 45-64
71,2005-12,4575434561.47797,3150192120,Age 30-44
71,2005-12,7109015419.19769,4487091840,Younger than 30
71,2005-12,93749551.7372129,59969976,Age 65 and older
72,2006-01,118729696.867832,100249320,Age 65 and older
72,2006-01,2233708347.10545,1642153548,Age 45-64
72,2006-01,3603456546.91771,3283757952,Age 30-44
72,2006-01,6416629956.64733,4331046828,Younger than 30
73,2006-02,2684720862.86648,1658102680,Age 45-64
73,2006-02,4030345124.59859,2887794520,Age 30-44
73,2006-02,6774387077.63379,3382343024,Younger than 30
73,2006-02,97152152.8398168,67734792,Age 65 and older
74,2006-03,114481085.33146,72724416,Age 65 and older
74,2006-03,2647092640.08633,1898617728,Age 45-64
74,2006-03,4397008601.33492,3348059536,Age 30-44
74,2006-03,6748064025.70844,3138344976,Younger than 30
75,2006-04,120706068.131654,91529208,Age 65 and older
75,2006-04,3024042855.50835,1939359064,Age 45-64
75,2006-04,4458181817.28495,3072978744,Age 30-44
75,2006-04,7330972088.56369,2934931444,Younger than 30
76,2006-05,137101061.057371,107440488,Age 65 and older
76,2006-05,4064993754.17477,2726443476,Age 45-64
76,2006-05,6075169072.64611,4844954196,Age 30-44
76,2006-05,8037068122.22081,4885148808,Younger than 30
77,2006-06,10166321332.5396,7679280288,Younger than 30
77,2006-06,151614567.689736,127570488,Age 65 and older
77,2006-06,4371505123.4378,3424253796,Age 45-64
77,2006-06,5157359177.37928,5406402384,Age 30-44
78,2006-07,138753552.544504,140194512,Age 65 and older
78,2006-07,3962713260.90454,3675687684,Age 45-64
78,2006-07,4989832345.16205,5009285400,Age 30-44
78,2006-07,9234030314.93296,8852609664,Younger than 30
79,2006-08,129990776.578851,262980384,Age 65 and older
79,2006-08,2377322927.45878,6488937792,Age 45-64
79,2006-08,3671025560.75755,7136452344,Age 30-44
79,2006-08,6443723586.84762,18824852760,Younger than 30
80,2006-09,2328710277.96333,4550200080,Age 45-64
80,2006-09,3715713353.92528,5614987212,Age 30-44
80,2006-09,5555750594.42361,12323617680,Younger than 30
80,2006-09,83530759.6271472,190325640,Age 65 and older
81,2006-10,2471204856.76202,2604156504,Age 45-64
81,2006-10,3538299703.58083,3900282408,Age 30-44
81,2006-10,6683552422.0845,7135199616,Younger than 30
81,2006-10,95830794.9382548,101301072,Age 65 and older
82,2006-11,103909144.25337,64168320,Age 65 and older
82,2006-11,2562257573.04531,1741239408,Age 45-64
82,2006-11,3724388427.17994,3085656816,Age 30-44
82,2006-11,7026639106.07997,5766365448,Younger than 30
83,2006-12,112088436.578586,78878424,Age 65 and older
83,2006-12,2547844193.23506,1279966920,Age 45-64
83,2006-12,3461381404.14375,2304405936,Age 30-44
83,2006-12,6620034879.8825,3930102432,Younger than 30
84,2007-01,115097597.448578,97487088,Age 65 and older
84,2007-01,2543325673.95342,2010699492,Age 45-64
84,2007-01,3171619756.57127,3030210240,Age 30-44
84,2007-01,6321978927.28367,4799368800,Younger than 30
85,2007-02,111694794.605139,81991320,Age 65 and older
85,2007-02,2573535973.19762,1591968504,Age 45-64
85,2007-02,3084569858.07664,2254123488,Age 30-44
85,2007-02,6043110483.34471,3102153408,Younger than 30
86,2007-03,120871121.640499,80429808,Age 65 and older
86,2007-03,2781137002.45503,1886859456,Age 45-64
86,2007-03,3260473041.62102,2431061688,Age 30-44
86,2007-03,6399730957.95193,2921637144,Younger than 30
87,2007-04,124164865.695197,92016312,Age 65 and older
87,2007-04,2761493996.65549,1795226976,Age 45-64
87,2007-04,3245432860.88498,2291280120,Age 30-44
87,2007-04,6582737885.74829,2656887744,Younger than 30
88,2007-05,100126920.309032,70251984,Age 65 and older
88,2007-05,2443232676.77114,1605775344,Age 45-64
88,2007-05,2975292600.50073,2375112912,Age 30-44
88,2007-05,5937857139.91683,3436495656,Younger than 30
89,2007-06,114641353.305489,86243784,Age 65 and older
89,2007-06,2440212034.67861,1773668472,Age 45-64
89,2007-06,2835142905.96859,2803246008,Age 30-44
89,2007-06,5861520423.71867,4247077896,Younger than 30
90,2007-07,112671273.191754,116062152,Age 65 and older
90,2007-07,2383043982.39518,2172658200,Age 45-64
90,2007-07,2836562494.74734,2851706496,Age 30-44
90,2007-07,5810780594.62731,5152322376,Younger than 30
91,2007-08,126337192.627837,260027784,Age 65 and older
91,2007-08,2185886122.55869,6054884520,Age 45-64
91,2007-08,3066585525.05794,5996825568,Age 30-44
91,2007-08,5839156335.05245,18314006352,Younger than 30
92,2007-09,2177021929.68882,4221116664,Age 45-64
92,2007-09,3343976646.25317,5018594328,Age 30-44
92,2007-09,5925608665.6886,12311050404,Younger than 30
92,2007-09,80785593.4677691,189475368,Age 65 and older
93,2007-10,109086401.309867,114831432,Age 65 and older
93,2007-10,1916233970.25673,2123480496,Age 45-64
93,2007-10,2389026749.94886,2722410048,Age 30-44
93,2007-10,5089381489.29435,5778576816,Younger than 30
94,2007-11,106294377.641067,67519416,Age 65 and older
94,2007-11,1946867632.72993,1311693024,Age 45-64
94,2007-11,2672660708.19935,2172228120,Age 30-44
94,2007-11,5481176169.80847,4267544928,Younger than 30
95,2007-12,117390961.707131,84601896,Age 65 and older
95,2007-12,1846682350.50304,919737936,Age 45-64
95,2007-12,2583103602.96491,1678743576,Age 30-44
95,2007-12,5315277563.50603,2929120392,Younger than 30
96,2008-01,123397503.457753,104968128,Age 65 and older
96,2008-01,1960302849.93728,1602916320,Age 45-64
96,2008-01,2698523769.36493,2628083520,Age 30-44
96,2008-01,5693624292.32526,4415599944,Younger than 30
97,2008-02,120290966.887637,89472048,Age 65 and older
97,2008-02,2130167774.90739,1368953664,Age 45-64
97,2008-02,2700063167.01538,2094347472,Age 30-44
97,2008-02,5604956028.36813,3219742296,Younger than 30
98,2008-03,1718572430.83902,1089845016,Age 45-64
98,2008-03,2421718688.68257,1773995520,Age 30-44
98,2008-03,5336931980.94577,2297441232,Younger than 30
98,2008-03,98173165.3902577,60860448,Age 65 and older
99,2008-04,1512039236.02555,993309096,Age 45-64
99,2008-04,2405310006.39566,1749994248,Age 30-44
99,2008-04,5115188365.65247,2227701000,Younger than 30
99,2008-04,98877453.241774,63610368,Age 65 and older
100,2008-05,100477721.294265,70278456,Age 65 and older
100,2008-05,1447602027.51048,906896880,Age 45-64
100,2008-05,2375881678.3802,1876623984,Age 30-44
100,2008-05,5156510928.00211,2962509984,Younger than 30
101,2008-06,1264396369.09921,878465160,Age 45-64
101,2008-06,1766384593.48206,1668017736,Age 30-44
101,2008-06,4716655745.80605,2955394632,Younger than 30
101,2008-06,87985130.7082151,56965008,Age 65 and older
102,2008-07,1586005472.69401,1421001552,Age 45-64
102,2008-07,2705825771.38785,2717384232,Age 30-44
102,2008-07,5935061643.10191,4991150280,Younger than 30
102,2008-07,90169843.1126323,93923976,Age 65 and older
103,2008-08,1970742139.54664,5167957344,Age 45-64
103,2008-08,3117469399.61665,5879532048,Age 30-44
103,2008-08,6494471937.04391,20247266496,Younger than 30
103,2008-08,86319454.784784,223103040,Age 65 and older
104,2008-09,105769890.197831,214771944,Age 65 and older
104,2008-09,2028486329.92703,4363509072,Age 45-64
104,2008-09,3317497080.87558,5345158872,Age 30-44
104,2008-09,6783561338.27988,15233880152,Younger than 30
105,2008-10,114730906.091901,119271744,Age 65 and older
105,2008-10,2291781962.58311,2558211384,Age 45-64
105,2008-10,3622616228.68897,4123949568,Age 30-44
105,2008-10,7528586083.87762,8656809960,Younger than 30
106,2008-11,2072619706.91864,1300986168,Age 45-64
106,2008-11,3250111907.14157,2454947952,Age 30-44
106,2008-11,6672305490.42791,4440921024,Younger than 30
106,2008-11,96852045.4540929,60087360,Age 65 and older
107,2008-12,105641906.703372,72701232,Age 65 and older
107,2008-12,2276466330.69148,1195799652,Age 45-64
107,2008-12,3617592088.29836,2409289488,Age 30-44
107,2008-12,7386841983.22622,4203203832,Younger than 30
108,2009-01,2292586164.39203,1853740512,Age 45-64
108,2009-01,3934429066.18432,3773632224,Age 30-44
108,2009-01,7556949489.40128,6027435024,Younger than 30
108,2009-01,83310696.9198535,64298808,Age 65 and older
109,2009-02,2204886636.28992,1341573192,Age 45-64
109,2009-02,3881909578.05293,2915465232,Age 30-44
109,2009-02,7601339292.24972,4145306904,Younger than 30
109,2009-02,87457774.3143586,55638840,Age 65 and older
110,2009-03,2166133955.5514,1361327136,Age 45-64
110,2009-03,3677249928.40212,2785535136,Age 30-44
110,2009-03,7570884819.20839,3291042864,Younger than 30
110,2009-03,83401697.123044,47845104,Age 65 and older
111,2009-04,2158477465.75924,1371204312,Age 45-64
111,2009-04,3684961325.82458,2680915656,Age 30-44
111,2009-04,7255679210.10892,3142295952,Younger than 30
111,2009-04,86430814.6162654,47484624,Age 65 and older
112,2009-05,2116322708.26346,1279443744,Age 45-64
112,2009-05,3741372262.07881,2955819312,Age 30-44
112,2009-05,7420311860.98895,4236147024,Younger than 30
112,2009-05,84736236.8231518,55969536,Age 65 and older
113,2009-06,1564141696.32938,1086133248,Age 45-64
113,2009-06,2696362509.36129,2519476152,Age 30-44
113,2009-06,6245728596.49324,3993865956,Younger than 30
113,2009-06,76809948.4825691,43864872,Age 65 and older
114,2009-07,102108998.436136,106305792,Age 65 and older
114,2009-07,1938056596.68308,1660799448,Age 45-64
114,2009-07,3512367232.62895,3464731440,Age 30-44
114,2009-07,6710617090.53489,5421439632,Younger than 30
115,2009-08,2150339594.91676,5738448648,Age 45-64
115,2009-08,3533005809.43779,6740906376,Age 30-44
115,2009-08,7019092946.15386,22033064448,Younger than 30
