month,date,vol,vol_unadj,income_level_group
60,2005-01,1693263108.99918,1364467272,Moderate
60,2005-01,3201896725.11451,2151994104,High
60,2005-01,4093066038.82316,3059394000,Middle
60,2005-01,427988725.476537,345966384,Low
61,2005-02,1720941097.3581,1143052200,Moderate
61,2005-02,3455730417.02068,1756853712,High
61,2005-02,4236380962.07393,2561026800,Middle
61,2005-02,469660946.116559,339234504,Low
62,2005-03,1804662112.2182,1276470600,Moderate
62,2005-03,3635042581.94376,1952324664,High
62,2005-03,4436713135.26665,2750889432,Middle
62,2005-03,452003586.116073,310493424,Low
63,2005-04,1798914043.71171,1140171504,Moderate
63,2005-04,3772039315.21449,1892801808,High
63,2005-04,423807745.827937,293264112,Low
63,2005-04,4865273281.95756,2671168680,Middle
64,2005-05,1896556108.43397,1380056064,Moderate
64,2005-05,3880074089.393,2505100744,High
64,2005-05,459717759.930508,318067896,Low
64,2005-05,4617477377.25031,3126925848,Middle
65,2005-06,2218012659.09067,1955393760,Moderate
65,2005-06,4653063039.83921,4066715496,High
65,2005-06,5411005779.01308,4654018416,Middle
65,2005-06,597313593.737289,540890400,Low
66,2005-07,2227547472.26845,2251698840,Moderate
66,2005-07,4748819728.71618,5107651776,High
66,2005-07,510490702.196661,503549760,Low
66,2005-07,6154191300.68177,5709954456,Middle
67,2005-08,2068921931.91021,4571881296,Moderate
67,2005-08,3648722422.18479,10880597256,High
67,2005-08,4605095187.65092,12240898620,Middle
67,2005-08,525785785.954224,1061149512,Low
68,2005-09,2022187599.3464,3508727496,Moderate
68,2005-09,3728893915.5599,7335432408,High
68,2005-09,4773885438.69456,9117548628,Middle
68,2005-09,502442364.960997,844930452,Low
69,2005-10,2337424576.97163,2560494600,Moderate
69,2005-10,4748128473.46188,4616491308,High
69,2005-10,527323967.663213,628112208,Low
69,2005-10,5690700413.76009,5996089108,Middle
70,2005-11,2281533482.30618,1938767112,Moderate
70,2005-11,5353418192.60237,3847684032,High
70,2005-11,562093345.145515,514883544,Low
70,2005-11,5840329950.71207,4668061788,Middle
