month,date,vol,vol_unadj,credit_score_group
60,2005-01,1349389507.48496,1016523840,Near-prime
60,2005-01,1832066123.64079,1646766864,Deep subprime
60,2005-01,2498732116.7594,1685523432,Prime
60,2005-01,3562969922.88353,1948094304,Super-prime
60,2005-01,991432545.060336,831005712,Subprime
61,2005-02,1044839462.70495,695211048,Subprime
61,2005-02,1486926252.63166,839346048,Near-prime
61,2005-02,1851503152.45591,1552870800,Deep subprime
61,2005-02,2566802685.30517,1308266904,Prime
61,2005-02,3740399187.10228,1607931744,Super-prime
62,2005-03,1204133770.54272,795481920,Subprime
62,2005-03,1701761574.21927,959774160,Near-prime
62,2005-03,1772126087.4276,1576029048,Deep subprime
62,2005-03,2867688158.28715,1508556840,Prime
62,2005-03,3939313109.7456,1694257008,Super-prime
63,2005-04,1156277324.39021,754791000,Subprime
63,2005-04,1621382713.35009,911539320,Near-prime
63,2005-04,1846107131.37192,1462787376,Deep subprime
63,2005-04,2640135347.90593,1326112560,Prime
63,2005-04,3849961122.53366,1774146672,Super-prime
64,2005-05,1175400322.09527,812617104,Subprime
64,2005-05,1488209959.50107,982294488,Near-prime
64,2005-05,1869637782.93037,1540178568,Deep subprime
64,2005-05,2888925391.96788,1821929256,Prime
64,2005-05,4033076877.643,2496282040,Super-prime
65,2005-06,1201713204.97797,1104275808,Subprime
65,2005-06,1801844408.2735,1429455072,Near-prime
65,2005-06,2002924000.62084,1785008640,Deep subprime
65,2005-06,3643131309.7807,2808787248,Prime
65,2005-06,5614437964.16945,4762119504,Super-prime
66,2005-07,1291013725.5597,1245681984,Subprime
66,2005-07,1754865643.05058,1790439912,Near-prime
66,2005-07,1901256704.01751,1648232904,Deep subprime
66,2005-07,3258424267.93371,3720225696,Prime
66,2005-07,4729845575.75461,6035545728,Super-prime
67,2005-08,1167767786.87406,2579223888,Subprime
67,2005-08,1592315790.09448,4135471800,Near-prime
67,2005-08,1931731232.22884,2939388840,Deep subprime
67,2005-08,2901544410.44696,8427439632,Prime
67,2005-08,3430468308.41376,12088287060,Super-prime
68,2005-09,1168717838.04967,2138518296,Subprime
68,2005-09,1582198338.66516,3111033504,Near-prime
68,2005-09,2028754379.85835,3105693432,Deep subprime
68,2005-09,2957537125.84774,5675119812,Prime
68,2005-09,3990615244.88904,7670428884,Super-prime
69,2005-10,1402120621.87876,1550300100,Subprime
69,2005-10,1936156434.47748,2107046856,Near-prime
69,2005-10,2191210079.5304,2643684432,Deep subprime
69,2005-10,3455482963.40532,3491268156,Prime
69,2005-10,5016955174.35733,4312893184,Super-prime
70,2005-11,1541991839.05995,1245965712,Subprime
70,2005-11,2069817176.73291,1676318472,Near-prime
70,2005-11,2147669421.81989,2022393288,Deep subprime
70,2005-11,3363861679.80321,2873136924,Prime
70,2005-11,5241259795.87402,3508039056,Super-prime
71,2005-12,1451652517.63161,949845720,Subprime
71,2005-12,2168309250.9069,1322856396,Near-prime
71,2005-12,2296828391.71187,1790011368,Deep subprime
71,2005-12,3532986701.97923,2220870552,Prime
71,2005-12,5033902763.01872,2517519960,Super-prime
72,2006-01,1191684562.79225,1057997544,Subprime
72,2006-01,1767137356.18207,1358505276,Near-prime
