month,date,vol,vol_unadj
72,2006-01,11991065640.41171,9374011768.18182
73,2006-02,12916887759.32311,7674616911.61616
74,2006-03,15479600147.30075,8579162929.797978
75,2006-04,15072743495.90901,7849106182.828288
76,2006-05,18929618494.04869,12258623413.13131
77,2006-06,22871261280.0383,16776166196.96971
78,2006-07,19343074059.84827,17950829100
79,2006-08,11685751526.17396,33081721227.27274
80,2006-09,10668535656.12041,22648000384.34343
81,2006-10,13342551378.03068,13719841983.83838
82,2006-11,15295943842.80378,10469644857.57576
83,2006-12,13483271760.38708,7695344313.131314
84,2007-01,12189673442.22153,9572826801.51516
85,2007-02,12586519638.0582,7486165470.202015
86,2007-03,13353537332.51425,7423280474.242425
87,2007-04,12770405385.56024,6652078691.919194
88,2007-05,11990739923.8999,7718846429.292933
89,2007-06,12263454411.54466,8953608503.535357
90,2007-07,11266510023.91381,10310350057.57576
91,2007-08,10511301939.38898,29835168782.32321
92,2007-09,10005127680.41517,21308624155.55556
93,2007-10,9960288510.121679,10296372301.51516
94,2007-11,11387572052.17142,7764682191.414144
95,2007-12,9962534278.425222,5646339426.767674
96,2008-01,10864346997.76391,8607421186.36363
97,2008-02,10737981443.21025,6402704594.444447
98,2008-03,8827354640.620277,4886638194.949495
99,2008-04,9621691285.32633,5036976242.929295
100,2008-05,8906699848.927221,5691365871.212124
101,2008-06,7268640003.109735,5264500905.555558
102,2008-07,9907544458.851175,8802704694.949493
103,2008-08,10593086205.11728,30324137974.24242
104,2008-09,11445903276.54551,24466798228.28284
105,2008-10,11968666284.83099,12487828564.14142
106,2008-11,9701497877.076786,6585735494.444448
107,2008-12,11733486528.00831,6546619050.505054
108,2009-01,11474088817.35396,9168492255.555555
109,2009-02,10986900108.62845,6550004196.969697
110,2009-03,11259994347.61981,6152787607.575758
111,2009-04,10945809938.37325,5741811270.202022
112,2009-05,10979561888.91352,7027942267.676766
113,2009-06,9246177409.400492,6652021378.282828
114,2009-07,11407452221.64139,9804717838.888895
115,2009-08,10971142555.77925,31828405103.03033
116,2009-09,11159265201.26858,23949986995.45454
117,2009-10,11348012919.73212,11937320944.44445
118,2009-11,11195905288.44957,7482136283.838381
119,2009-12,12019583628.7551,6566841476.767681
120,2010-01,11608987423.27419,9319836524.747471
121,2010-02,11911944042.40001,7062022328.787881
122,2010-03,12600352264.5008,6783636967.676764
123,2010-04,11670062081.12694,6131919348.989898
124,2010-05,10641375237.69398,6927074064.646466
125,2010-06,11106400385.67921,7954891775.757575
126,2010-07,10469352772.21362,8761528955.555555
127,2010-08,11352934319.31161,33483899692.9293
128,2010-09,11944672439.61643,25625408428.28283
129,2010-10,12141931940.47607,12727169111.61616
130,2010-11,12002764134.89987,7894263109.595959
131,2010-12,11447573869.1989,6127792937.878788
132,2011-01,12002934146.37402,9600533072.727274
133,2011-02,11964051134.94124,7047523202.525255
134,2011-03,12096609432.38691,6471819028.282828
135,2011-04,15933779705.07583,8422254165.656565
136,2011-05,13660377086.43238,9086638283.838388
137,2011-06,12731214142.00693,9094574146.969698
138,2011-07,12495746641.57676,10349709102.02021
139,2011-08,12969567789.83737,38748882372.72726
140,2011-09,12161686322.67229,26064295891.91918
141,2011-10,10127660556.98534,10451786369.69698
142,2011-11,12502407676.7562,8038639306.060605
143,2011-12,11817118832.76226,6252184878.282824
144,2012-01,11887382296.3633,9453851402.525251
145,2012-02,11736397491.47922,6893370059.595961
146,2012-03,11902853381.09176,6409648568.181821
147,2012-04,11907121555.9472,6392198745.959597
148,2012-05,13260823959.55875,9017250397.474743
149,2012-06,13567038581.35147,9710421903.030298
150,2012-07,14940784698.61883,12447723634.34343
151,2012-08,12670746912.85736,37985966954.54546
152,2012-09,11187004119.04516,23851772672.72726
153,2012-10,12115549349.94909,12189414920.70707
154,2012-11,11242556618.93444,7117346383.838383
155,2012-12,11022796741.09043,5856231505.555556
156,2013-01,11655463326.9865,9250235961.616159
157,2013-02,11313538340.80523,6699727144.949496
158,2013-03,10056827233.64512,5520614278.787877
159,2013-04,10159012136.98756,5550118608.585856
160,2013-05,10401306352.5321,7179185162.626262
161,2013-06,8654238776.531767,6228319820.202025
162,2013-07,9898183716.343063,8346585270.202017
163,2013-08,10790557659.50872,32179524202.52527
164,2013-09,10754361021.65137,22756011724.74748
165,2013-10,10513066937.66316,10330587164.64647
166,2013-11,11017185632.29918,6852646388.888892
167,2013-12,10247069392.98381,5590215825.757577
168,2014-01,10330679968.49701,8235681828.787883
169,2014-02,10656615262.65046,6387009867.171718
170,2014-03,10775719190.41556,6072362865.151516
171,2014-04,11448378163.32646,6348099312.121215
172,2014-05,10349021930.84966,7261096739.393942
173,2014-06,10461456518.93796,7581657639.898989
174,2014-07,11551483166.75506,9859439899.494949
175,2014-08,11407806212.95583,33697009042.9293
176,2014-09,11937961169.57814,24929394645.95959
177,2014-10,11633869966.04182,11169559232.82828
178,2014-11,11554461943.8887,7138353166.161617
179,2014-12,15077881983.5974,8543621152.525249
180,2015-01,12383319792.86676,9959063383.333326
181,2015-02,12266966458.66701,7438802149.999998
182,2015-03,12713405279.96621,7374648413.636359
183,2015-04,12354173464.3531,6933535424.74747
184,2015-05,11470414297.94271,8162101688.383836
185,2015-06,12103752785.06533,8818877382.323235
186,2015-07,12304714206.38072,10635975405.05051
187,2015-08,11060179050.80144,32400369427.27274
188,2015-09,12143733770.89671,24833537637.37373
189,2015-10,11837879326.95887,11166407684.84848
190,2015-11,11397450996.99607,7041117684.343433
191,2015-12,14345151250.94554,8427666844.949494
192,2016-01,11510058789.60322,9423779041.919188
193,2016-02,12143643140.24352,7420883093.434344
194,2016-03,12598673747.02195,7436123043.939394
195,2016-04,11758204552.71136,6655245581.313128
196,2016-05,12234078137.75702,8857694556.565662
197,2016-06,12224230616.72645,8899365033.838379
198,2016-07,11479992577.43391,10093519000
199,2016-08,12226622397.00488,35638588585.85857
200,2016-09,12129443716.54468,24172787492.42426
201,2016-10,11138049674.84971,10370648087.87879
202,2016-11,14067336752.66026,8756162574.747471
203,2016-12,13846964604.48899,8344033131.313133
204,2017-01,12695890737.52704,10614924222.72727
205,2017-02,13063086198.53111,8022672720.202024
206,2017-03,14458877933.25708,8603128243.93939
207,2017-04,11413575749.2134,6438047515.151515
208,2017-05,13496427008.26882,9897294429.292929
209,2017-06,13708835133.71983,9869891374.747484
210,2017-07,12008027619.71397,10778427416.16162
211,2017-08,12552400480.5866,36688188213.1313
212,2017-09,12079852933.8146,23508272176.26262
213,2017-10,12103339344.12728,11144936367.67676
214,2017-11,12581559914.68633,7870419395.454544
215,2017-12,12288309246.85427,7497647805.55556
216,2018-01,12641352226.25333,10806515388.88889
217,2018-02,12213185050.80725,7538139026.26263
218,2018-03,11958646010.94165,7077630646.969703
219,2018-04,12399494380.03563,6890850707.57575
220,2018-05,12880514697.0897,9420427632.828281
221,2018-06,12783448627.35613,9055564305.050505
222,2018-07,12973186769.31639,11817208079.29294
223,2018-08,12568841825.69532,37059579358.58587
224,2018-09,11382381751.44151,21949874281.31313
225,2018-10,12578707823.78436,11395583939.89899
226,2018-11,12406072365.9114,7837372019.191921
227,2018-12,11911357673.93555,7313934323.737368
228,2019-01,12401253188.42166,10785665041.41414
229,2019-02,12116906715.0378,7466273475.757573
230,2019-03,12176343374.76936,7082786691.414142
231,2019-04,13151480669.12183,7108783016.666666
232,2019-05,12723873212.2233,9141693432.32324
233,2019-06,11797832538.29389,8163466644.949499
234,2019-07,13059501808.8156,12054561197.47475
235,2019-08,12448488476.95801,37061107836.36363
236,2019-09,12219453522.80863,23688745637.87879
237,2019-10,12855082276.80845,11566276625.25253
238,2019-11,12308331934.35256,7900629550.505051
239,2019-12,12527137061.65298,7681064371.212122
240,2020-01,12378315076.90783,10942837714.14141
241,2020-02,12614609833.99457,7647507376.262626
242,2020-03,13075631425.08492,7396855961.111112
243,2020-04,11948621968.23187,6170697905.555556
244,2020-05,9575739038.649109,6696675248.9899
245,2020-06,10178163688.74652,6923708291.919189
246,2020-07,10988337233.22381,10187903218.68687
247,2020-08,10370937961.27881,31118997291.41414
248,2020-09,10306231717.89605,20369431863.13132
249,2020-10,9611706014.991493,8642093929.797979
250,2020-11,9124604122.559271,5999264365.656569
251,2020-12,9346525808.871958,5718425856.565658
252,2021-01,9831308035.448681,8780085323.232319
253,2021-02,10841773489.86284,6397395018.181816
254,2021-03,10737535481.35618,5889765131.818182
255,2021-04,10684029843.7675,5190332115.151516
256,2021-05,9867978342.805044,6703217829.797978
257,2021-06,11190325839.35347,7536817332.323236
258,2021-07,10166569729.46354,9401108415.656572
259,2021-08,10576466877.02637,31979773661.61617
260,2021-09,10613280562.07922,21449937038.38385
261,2021-10,9341951795.633408,8458883355.555556
262,2021-11,10609547945.28513,7150093939.898997
263,2021-12,12104348640.26244,7361405061.111112
264,2022-01,11073108163.95772,9952659453.030304
265,2022-02,11625723910.68605,6649750875.252529
266,2022-03,11349847737.89501,6033767979.292931
267,2022-04,12152555762.56105,5546507155.555555
268,2022-05,12975098379.36766,8595873217.171713
269,2022-06,12618187759.50221,8548745478.787881
270,2022-07,13340730016.35509,12196155708.58587
271,2022-08,12995152775.69017,39605989916.16161
272,2022-09,13100707466.7947,26978764501.51516
273,2022-10,14233808883.64305,12910989013.63637
274,2022-11,22301619668.77991,15364867493.9394
275,2022-12,10679217952.4465,6491366631.818183
276,2023-01,8925278968.194035,8043831357.070705
277,2023-02,9294236163.963104,5173589607.575766
278,2023-03,9515170164.739222,4923961648.989902
279,2023-04,8506366532.882991,3702220127.77778
280,2023-05,10907748902.31806,7120686143.434344
281,2023-06,11102984836.2061,7582111304.545453
282,2023-07,11203465230.37876,10183526233.33333
283,2023-08,12309701320.13055,37711169451.01011
284,2023-09,12785010965.41529,26570409685.85859
285,2023-10,17329446121.90504,15750941859.09092
286,2023-11,14039522993.63304,9799183897.474749
287,2023-12,13398702763.72198,8156625352.525252
288,2024-01,14412578820.46536,13022790209.0909
289,2024-02,14686546885.43144,8035049730.248308
290,2024-03,11664096080.74003,5928947833.577538
291,2024-04,15880755035.91194,6752004469.222383
292,2024-05,15936106558.4435,10387578597.91738
293,2024-06,24118217291.47001,16547863555.7825
294,2024-07,12639928940.3394,11470653346.67508
