month,date,vol,vol_unadj,age_group
60,2005-01,1905443997.60489,1294756904,Age 45-64
60,2005-01,3104937278.2948,2648485096,Age 30-44
60,2005-01,44237536.7073476,39236392,Age 65 and older
60,2005-01,5122319655.85053,3315851072,Younger than 30
61,2005-02,2081880756.31198,1298582928,Age 45-64
61,2005-02,3201295964.35159,2248298824,Age 30-44
61,2005-02,5354611101.98748,2667233528,Younger than 30
61,2005-02,70541866.6144102,50606552,Age 65 and older
62,2005-03,2250770178.51985,1634433216,Age 45-64
62,2005-03,3142326292.0692,2412675624,Age 30-44
62,2005-03,5785266795.48949,2710341456,Younger than 30
62,2005-03,63999506.1796866,38900736,Age 65 and older
63,2005-04,2252369460.36345,1506288160,Age 45-64
63,2005-04,3199809173.55386,2301741288,Age 30-44
63,2005-04,5819805103.42393,2432907416,Younger than 30
63,2005-04,79772708.813738,58933920,Age 65 and older
64,2005-05,2517056633.75815,1657274688,Age 45-64
64,2005-05,3279300035.98868,2621072984,Age 30-44
64,2005-05,5922849400.31077,3425529224,Younger than 30
64,2005-05,74065374.0583669,51968880,Age 65 and older
65,2005-06,2643968248.42219,2135329464,Age 45-64
65,2005-06,3685373634.95385,3977042016,Age 30-44
65,2005-06,7956551795.41954,5936483712,Younger than 30
65,2005-06,93610584.367936,79893600,Age 65 and older
66,2005-07,2859247396.00967,2667786344,Age 45-64
66,2005-07,4454143078.19507,4434018432,Age 30-44
66,2005-07,78779264.6557078,78958560,Age 65 and older
66,2005-07,7972320287.06122,7316045912,Younger than 30
67,2005-08,2256715012.192,6140490544,Age 45-64
67,2005-08,3502711096.51736,6940261712,Age 30-44
67,2005-08,5753488991.98262,17624700124,Younger than 30
67,2005-08,89786943.6558909,202327608,Age 65 and older
68,2005-09,104797161.152247,194478096,Age 65 and older
68,2005-09,2308660073.31002,4736642844,Age 45-64
68,2005-09,3681204967.11911,5770997904,Age 30-44
68,2005-09,5839903934.35126,12629779548,Younger than 30
69,2005-10,102302854.388473,103418456,Age 65 and older
69,2005-10,2695263472.06665,2630821840,Age 45-64
69,2005-10,4461839024.22566,4490236072,Age 30-44
69,2005-10,6820506697.46268,7597571713,Younger than 30
70,2005-11,122694041.842006,76057552,Age 65 and older
70,2005-11,2733965869.18388,1840601800,Age 45-64
70,2005-11,4456846150.78726,3694905864,Age 30-44
70,2005-11,8004335153.80342,6100613152,Younger than 30
71,2005-12,2634819430.47325,1372348572,Age 45-64
71,2005-12,4535378151.12834,3142916688,Age 30-44
71,2005-12,6770851991.93725,4500401880,Younger than 30
71,2005-12,75092294.3679561,57033384,Age 65 and older
72,2006-01,111203338.673081,98321784,Age 65 and older
72,2006-01,2260218050.85084,1638198980,Age 45-64
72,2006-01,3627387618.61747,3254236840,Age 30-44
72,2006-01,6125498672.87053,4256438284,Younger than 30
73,2006-02,2635004513.82649,1654224408,Age 45-64
73,2006-02,4022877600.75003,2870708667,Age 30-44
73,2006-02,6646323708.20824,3367292824,Younger than 30
73,2006-02,94202739.4220197,67852808,Age 65 and older
74,2006-03,116140934.948162,70342608,Age 65 and older
74,2006-03,2649841681.29188,1912659600,Age 45-64
74,2006-03,4351367183.18952,3350922784,Age 30-44
74,2006-03,6680898130.73082,3124556544,Younger than 30
75,2006-04,121168045.409616,87448440,Age 65 and older
75,2006-04,3048779727.6097,1936561888,Age 45-64
75,2006-04,4423749641.69004,3064371448,Age 30-44
