month,date,vol,vol_unadj,income_level_group
60,2005-01,1696604408.20117,1364467272,Moderate
60,2005-01,3219800818.5562,2151994104,High
60,2005-01,4130372541.38604,3059394000,Middle
60,2005-01,430991071.677806,345966384,Low
61,2005-02,1721403807.03294,1143052200,Moderate
61,2005-02,3459535640.95812,1756853712,High
61,2005-02,4265800118.42549,2561026800,Middle
61,2005-02,470142722.758957,339234504,Low
62,2005-03,1804116996.59998,1276470600,Moderate
62,2005-03,3631791454.74648,1952324664,High
62,2005-03,4470981848.11946,2750889432,Middle
62,2005-03,450446935.027514,310493424,Low
63,2005-04,1799089754.88771,1140171504,Moderate
63,2005-04,3772444991.39821,1892801808,High
63,2005-04,423465380.187244,293264112,Low
63,2005-04,4874462146.40849,2671168680,Middle
64,2005-05,1897325221.92753,1380056064,Moderate
64,2005-05,3883127937.70418,2505100744,High
64,2005-05,460477648.298844,318067896,Low
64,2005-05,4644982415.98177,3126925848,Middle
65,2005-06,2216986723.54287,1955393760,Moderate
65,2005-06,4635049289.68969,4066715496,High
65,2005-06,5459387991.70439,4654018416,Middle
65,2005-06,598511043.613703,540890400,Low
66,2005-07,2229207975.22981,2251698840,Moderate
66,2005-07,4762860126.50969,5107651776,High
66,2005-07,515011441.985186,503549760,Low
66,2005-07,5870130148.87762,5709954456,Middle
67,2005-08,2066822398.27141,4571881296,Moderate
67,2005-08,3640496043.99906,10880597256,High
67,2005-08,4618531080.67062,12240898620,Middle
67,2005-08,524630492.708325,1061149512,Low
68,2005-09,2020649267.75855,3508727496,Moderate
68,2005-09,3718522770.62661,7335432408,High
68,2005-09,4751184500.94917,9117548628,Middle
68,2005-09,497659018.485068,844930452,Low
69,2005-10,2340437009.31608,2560494600,Moderate
69,2005-10,4766952360.54292,4616491308,High
69,2005-10,530440993.114193,628112208,Low
69,2005-10,5728834617.97809,5996089108,Middle
70,2005-11,2279930976.11443,1938767112,Moderate
70,2005-11,5354554306.6747,3847684032,High
70,2005-11,560822252.85776,514883544,Low
