month,date,vol,vol_unadj,credit_score_group
84,2007-01,1278974477.844305,1170868639.89899,Subprime
84,2007-01,1562582955.793011,1277578770.20202,Near-prime
84,2007-01,2243320720.967959,2168052189.39394,Deep subprime
84,2007-01,2700935604.446075,2135586195.454545,Prime
84,2007-01,3274492608.94536,2394215911.616161,Super-prime
85,2007-02,1298721824.832452,854024753.0303031,Subprime
85,2007-02,1657050005.293208,934735694.9494951,Near-prime
85,2007-02,2479105428.988343,2170594134.848485,Deep subprime
85,2007-02,3016386790.93153,1540104741.919192,Prime
85,2007-02,3520964713.519262,1617830038.88889,Super-prime
86,2007-03,1362001779.065701,830450118.6868687,Subprime
86,2007-03,1845571499.802535,895748065.1515149,Near-prime
86,2007-03,2962750858.614628,2504002426.262627,Deep subprime
86,2007-03,2992040998.043995,1271565298.484848,Prime
86,2007-03,4096748494.239504,1592750013.131313,Super-prime
87,2007-04,1370264904.829114,842035348.4848489,Subprime
87,2007-04,1743725844.599276,862306820.7070706,Near-prime
87,2007-04,2416150543.280015,1919094221.212121,Deep subprime
87,2007-04,3148558548.864891,1310890467.171717,Prime
87,2007-04,3806029874.101967,1488636562.121213,Super-prime
88,2007-05,1364201297.028374,948418051.0101011,Subprime
88,2007-05,1709243408.476989,994658368.686869,Near-prime
88,2007-05,2462149018.508519,1969532103.030303,Deep subprime
88,2007-05,3000275352.36712,1654633375.757576,Prime
88,2007-05,3598336430.480934,1912766458.080808,Super-prime
89,2007-06,1302737883.264383,920709901.515152,Subprime
89,2007-06,2187837608.601192,1271625438.383838,Near-prime
89,2007-06,2281654075.313834,1818132306.565657,Deep subprime
89,2007-06,3140221833.940411,2070460296.464646,Prime
89,2007-06,3938655147.540813,2611023079.797979,Super-prime
90,2007-07,1154961798.535679,1045333878.282828,Subprime
90,2007-07,1651863930.379437,1391532151.010101,Near-prime
90,2007-07,2097736376.20056,1968642301.010101,Deep subprime
90,2007-07,2765794774.776761,2311598078.787878,Prime
90,2007-07,3436702727.655824,3200220385.353536,Super-prime
91,2007-08,1060431978.00443,2439426561.616162,Subprime
91,2007-08,1320032705.217073,3936377870.707076,Near-prime
91,2007-08,2136139333.3229,7368731614.646464,Prime
91,2007-08,2231450676.698417,3441798327.272729,Deep subprime
91,2007-08,2759832887.855894,10297344016.66667,Super-prime
92,2007-09,1126700419.61075,2754768933.838383,Near-prime
92,2007-09,2071958757.264205,3380605256.565657,Deep subprime
92,2007-09,2138140285.752756,4986723737.373737,Prime
92,2007-09,2735062369.361125,6354416870.707072,Super-prime
92,2007-09,969918367.0909231,2057060165.656565,Subprime
93,2007-10,1228031406.570722,1321074359.090909,Near-prime
93,2007-10,2076354217.696779,2557651155.050505,Deep subprime
93,2007-10,2232694947.781158,2162314689.39394,Prime
93,2007-10,2612943773.870036,2269540310.606061,Super-prime
93,2007-10,829642729.1465478,1002319489.39394,Subprime
94,2007-11,1174069830.694914,800017316.6666667,Subprime
94,2007-11,1579736203.388939,964099765.6565655,Near-prime
94,2007-11,2549189547.470444,2144279731.313131,Deep subprime
94,2007-11,2924426486.341084,1631306860.606061,Prime
94,2007-11,3479755745.741181,1659029787.373736,Super-prime
95,2007-12,1023372394.669876,600684076.2626262,Subprime
95,2007-12,1395840607.619041,729784287.8787878,Near-prime
95,2007-12,1940371240.310654,1433756318.686869,Deep subprime
95,2007-12,2367097289.47287,1204360017.171717,Prime
95,2007-12,2630771087.13667,1308681435.858585,Super-prime
96,2008-01,1380927398.76445,1126519764.141414,Near-prime
96,2008-01,2123845566.982724,2044031270.707071,Deep subprime
96,2008-01,2415539793.551507,1898532378.282828,Prime
96,2008-01,2918111103.00455,2160649256.060608,Super-prime
96,2008-01,967499259.38202,879250619.1919188,Subprime
97,2008-02,1049488633.307995,685935139.3939391,Subprime
97,2008-02,1393189315.435609,781047927.2727275,Near-prime
97,2008-02,2148715767.965321,1868722241.414142,Deep subprime
97,2008-02,2405000414.817711,1216912608.585858,Prime
97,2008-02,2985362427.027944,1364606766.161617,Super-prime
98,2008-03,1133533430.537725,544561710.1010098,Near-prime
98,2008-03,1920103268.507658,1622146284.343435,Deep subprime
98,2008-03,2146235582.890911,905928684.3434345,Prime
98,2008-03,2550352325.359495,984053202.5252525,Super-prime
98,2008-03,786408131.9527428,481990937.8787876,Subprime
99,2008-04,1213698486.066301,600326244.4444442,Near-prime
99,2008-04,2067912667.305474,861737935.8585861,Prime
99,2008-04,2159059220.410408,1719959651.515152,Deep subprime
99,2008-04,2768525528.989124,1070800941.414141,Super-prime
99,2008-04,856958985.5314952,532621590.9090909,Subprime
100,2008-05,1026568452.38141,603127076.7676767,Near-prime
100,2008-05,2046461577.360607,1141511894.949495,Prime
100,2008-05,2086096846.054785,1684580219.69697,Deep subprime
100,2008-05,2672742669.138793,1435030830.303031,Super-prime
100,2008-05,820210264.4964583,574963180.8080809,Subprime
101,2008-06,1554141426.46407,1019163736.363637,Prime
101,2008-06,1752495580.296899,1417820927.272727,Deep subprime
101,2008-06,2347396067.131599,1530167387.373737,Super-prime
101,2008-06,637924543.4538571,455195034.8484849,Subprime
101,2008-06,947683659.2699096,558021980.8080809,Near-prime
102,2008-07,1210004533.297196,1007824037.373737,Near-prime
102,2008-07,2143867112.193086,1772698546.969697,Prime
102,2008-07,2509893183.443512,2337581202.525251,Deep subprime
102,2008-07,2622812487.358493,2402658612.121216,Super-prime
102,2008-07,951168428.0070107,859075529.2929295,Subprime
103,2008-08,1216978675.033418,3665443196.464647,Near-prime
103,2008-08,2082543944.62916,7253017974.242425,Prime
103,2008-08,2393202635.479057,3691332644.949497,Deep subprime
103,2008-08,2785306864.795285,10505599544.44445,Super-prime
103,2008-08,987406600.0817128,2282911210.606061,Subprime
104,2008-09,1047513442.613607,2209167938.383839,Subprime
104,2008-09,1271753273.339754,3097001987.373738,Near-prime
104,2008-09,2349826005.759023,5487794834.343436,Prime
104,2008-09,2624344097.635039,4284162471.21212,Deep subprime
104,2008-09,2881486322.555081,6690679854.545456,Super-prime
105,2008-10,1041283953.563079,1247209234.343435,Subprime
105,2008-10,1361003385.029762,1458852261.111111,Near-prime
105,2008-10,2500842348.983784,2393133136.868687,Prime
105,2008-10,2651080806.168233,3254646869.69697,Deep subprime
105,2008-10,3078750030.098742,2671976983.838384,Super-prime
106,2008-11,1199509538.635536,734253540.9090909,Near-prime
106,2008-11,2036776103.13496,1141796183.838385,Prime
106,2008-11,2402138681.313043,2019613787.373738,Deep subprime
106,2008-11,2657947233.244318,1264804404.040404,Super-prime
106,2008-11,962954204.6952782,656952484.8484849,Subprime
107,2008-12,1068104622.761582,618987397.9797978,Subprime
107,2008-12,1364855552.822106,699490714.141414,Near-prime
107,2008-12,2181535532.686254,1095890452.020202,Prime
107,2008-12,2819286259.499334,1393249548.989899,Super-prime
107,2008-12,2948055058.389149,2162082111.111112,Deep subprime
108,2009-01,1052148095.506122,951039170.2020204,Subprime
108,2009-01,1282110563.399171,1041643666.161616,Near-prime
108,2009-01,2255737947.112846,1761345579.292929,Prime
108,2009-01,2702071751.69654,1996879126.767676,Super-prime
108,2009-01,2865980483.435973,2748730992.424242,Deep subprime
109,2009-02,1109758527.904504,718898671.2121216,Subprime
109,2009-02,1225431760.813037,678096729.79798,Near-prime
109,2009-02,2156001415.349713,1067333770.707071,Prime
109,2009-02,2572939447.028966,1144505019.696969,Super-prime
109,2009-02,2624700482.086265,2265514368.181819,Deep subprime
110,2009-03,1030358359.697872,635380920.7070706,Subprime
110,2009-03,1371737788.015141,646304952.020202,Near-prime
110,2009-03,2290710990.326847,958713474.2424244,Prime
110,2009-03,2619853331.433636,1011585695.959595,Super-prime
110,2009-03,2830495914.058569,2381581535.858586,Deep subprime
111,2009-04,1243616939.089307,616073783.8383839,Near-prime
111,2009-04,2153263817.072909,894911897.4747473,Prime
111,2009-04,2658282579.058662,1018164770.707071,Super-prime
111,2009-04,2726013156.901259,2183075648.484849,Deep subprime
111,2009-04,997774134.6293101,629247223.2323232,Subprime
112,2009-05,1032817325.7488,739448157.5757577,Subprime
112,2009-05,1345480411.907266,804711262.6262629,Near-prime
112,2009-05,2189867188.829421,1246075879.29293,Prime
112,2009-05,2763063229.401303,2272069132.323232,Deep subprime
112,2009-05,2778122188.345419,1540217336.363636,Super-prime
113,2009-06,1129825837.334311,679073441.4141415,Near-prime
113,2009-06,1704963216.403592,1108457836.868687,Prime
113,2009-06,2443512260.687068,2030851360.606061,Deep subprime
113,2009-06,2653449858.677907,1734154186.363637,Super-prime
113,2009-06,923285231.4536654,670821465.151515,Subprime
114,2009-07,1070060783.29162,963966191.4141414,Subprime
114,2009-07,1291665226.169731,1056264446.464647,Near-prime
114,2009-07,2320470827.480371,1909125010.10101,Prime
114,2009-07,2881789665.290838,2604117068.181819,Super-prime
114,2009-07,2947416236.432894,2738503612.626263,Deep subprime
115,2009-08,1010044867.758792,2352728343.939393,Subprime
115,2009-08,1248290812.847671,3833673764.646464,Near-prime
115,2009-08,2142705080.783921,7535191312.626265,Prime
115,2009-08,2758737310.509021,10543383783.83839,Super-prime
115,2009-08,2776997911.394796,4253825015.151515,Deep subprime
116,2009-09,1086127891.063424,2272966707.575758,Subprime
116,2009-09,1237148365.929817,2986977415.151514,Near-prime
116,2009-09,2125000918.00032,4990440982.323231,Prime
116,2009-09,2724948225.913709,4446108630.30303,Deep subprime
116,2009-09,2746090755.054944,6264514107.070712,Super-prime
117,2009-10,1079449058.540637,1273452022.727273,Subprime
117,2009-10,1254683271.458267,1340030972.727273,Near-prime
117,2009-10,2128913402.278096,2003501623.737375,Prime
117,2009-10,2578640395.501726,2205883607.575758,Super-prime
117,2009-10,2860156955.030828,3490464684.343435,Deep subprime
118,2009-11,1091920537.663183,741418456.5656567,Subprime
118,2009-11,1323029385.361052,809239056.5656569,Near-prime
118,2009-11,2203370139.322868,1233623250.50505,Prime
118,2009-11,2588007688.612322,1265055913.131313,Super-prime
118,2009-11,3021697489.034595,2524812564.646466,Deep subprime
119,2009-12,1083197533.846225,612208900,Subprime
119,2009-12,1293261809.235202,640915474.2424241,Near-prime
119,2009-12,2294850184.021172,1133970569.69697,Prime
119,2009-12,2727002660.187278,1346887490.909091,Super-prime
119,2009-12,3049588681.662689,2216252658.080809,Deep subprime
120,2010-01,1104461905.478876,992381433.3333334,Subprime
120,2010-01,1283302235.542749,1029727419.191919,Near-prime
120,2010-01,2157154651.442862,1666303750,Prime
120,2010-01,2702664017.555855,1985598326.262625,Super-prime
120,2010-01,2967517640.473924,2830952030.303031,Deep subprime
121,2010-02,1097086871.952699,706749950,Subprime
121,2010-02,1338795262.758349,721265389.3939394,Near-prime
121,2010-02,2111046141.732039,1019642516.666667,Prime
121,2010-02,2756542448.021616,1187967234.848485,Super-prime
121,2010-02,3068930099.125491,2627177833.333333,Deep subprime
122,2010-03,1187572622.634683,738285978.2828282,Subprime
122,2010-03,1310493997.121501,610495836.3636364,Near-prime
122,2010-03,2249405583.934079,924838352.0202022,Prime
122,2010-03,2801342667.868967,1090758593.434344,Super-prime
122,2010-03,3247466764.668967,2729801624.242424,Deep subprime
123,2010-04,1106776007.593658,717102624.7474748,Subprime
123,2010-04,1325054051.753309,654937048.989899,Near-prime
123,2010-04,2246991504.978228,928099755.5555556,Prime
123,2010-04,2544366844.530502,964682298.9898986,Super-prime
123,2010-04,2883741409.488658,2341966340.909091,Deep subprime
124,2010-05,1090989537.49561,807515969.1919193,Subprime
124,2010-05,1286523155.631721,795352272.7272727,Near-prime
124,2010-05,2011310435.725802,1176080137.878788,Prime
124,2010-05,2378765144.38118,1387269476.262627,Super-prime
124,2010-05,2686111138.821778,2276521236.363636,Deep subprime
125,2010-06,1212366242.227226,891454420.7070708,Subprime
125,2010-06,1358947304.875912,831123488.3838388,Near-prime
125,2010-06,2175309358.379672,1397354337.878789,Prime
125,2010-06,2544637237.616287,1717501650.50505,Super-prime
125,2010-06,3072614681.023458,2610074424.747474,Deep subprime
126,2010-07,1130926850.54535,1010997295.454546,Subprime
126,2010-07,1202320212.812523,970423402.5252527,Near-prime
126,2010-07,1894683954.880795,1559901615.656567,Prime
126,2010-07,2422917103.671003,2202052440.40404,Super-prime
126,2010-07,2688266465.723895,2475690314.141414,Deep subprime
127,2010-08,1196824191.748892,2808622251.515152,Subprime
127,2010-08,1339493279.05878,4215426983.333334,Near-prime
127,2010-08,2198640501.141309,7876561209.595961,Prime
127,2010-08,2764317937.623921,10635588747.97979,Super-prime
127,2010-08,2882437164.072766,4391789848.989898,Deep subprime
128,2010-09,1179263000.742982,2444610076.767676,Subprime
128,2010-09,1400231520.748941,3339645585.858587,Near-prime
128,2010-09,2320765915.57525,5437200146.464645,Prime
128,2010-09,2887258697.993814,4695448073.737372,Deep subprime
128,2010-09,2933174209.639601,6440011609.595958,Super-prime
129,2010-10,1244557879.473993,1432730565.656566,Subprime
129,2010-10,1435144455.485248,1504044451.515152,Near-prime
129,2010-10,2475992320.996952,2256636581.818181,Prime
129,2010-10,2786094914.364143,3367929420.20202,Deep subprime
129,2010-10,3036745804.659588,2574287906.565657,Super-prime
130,2010-11,1325032426.044231,902405493.4343431,Subprime
130,2010-11,1418328924.938375,867266932.3232325,Near-prime
130,2010-11,2533270855.799149,1410772666.666667,Prime
130,2010-11,2829648041.438076,2348346729.292928,Deep subprime
130,2010-11,2948034330.625179,1508958292.424243,Super-prime
131,2010-12,1210058261.674601,666745306.060606,Subprime
131,2010-12,1297204234.13862,622207123.2323233,Near-prime
131,2010-12,2073385271.240084,1012711021.212121,Prime
131,2010-12,2652873636.932289,1904830030.808081,Deep subprime
131,2010-12,2882357015.178112,1420790046.969697,Super-prime
132,2011-01,1159631112.628549,1035702133.838384,Subprime
132,2011-01,1498971863.498065,1181009621.717172,Near-prime
132,2011-01,2396538415.553713,1826753737.878788,Prime
132,2011-01,2722710040.361086,2568594861.111112,Deep subprime
132,2011-01,3073389460.31984,2253097983.333333,Super-prime
133,2011-02,1166632198.477347,752789427.2727275,Subprime
133,2011-02,1501286931.088998,790906548.4848485,Near-prime
133,2011-02,2505483522.161469,2150625564.141415,Deep subprime
133,2011-02,2594636536.388463,1222281728.282829,Prime
133,2011-02,3165124304.69281,1334934403.535354,Super-prime
134,2011-03,1422478210.156103,894498397.4747475,Subprime
134,2011-03,1449490654.805299,673275991.4141414,Near-prime
134,2011-03,2526877794.659806,1028382390.909091,Prime
134,2011-03,2640062296.668817,2238855527.272727,Deep subprime
134,2011-03,2748434273.805875,1077646383.838384,Super-prime
135,2011-04,1522650658.411638,1020577127.777778,Subprime
135,2011-04,1893805195.301695,938448400,Near-prime
135,2011-04,3369393692.87256,1398163104.040404,Prime
135,2011-04,3484397223.223909,2887463833.838385,Deep subprime
135,2011-04,4803667449.610161,1817973107.575758,Super-prime
136,2011-05,1469865510.959555,1119039446.969697,Subprime
136,2011-05,1628868756.654542,1035125103.535354,Near-prime
136,2011-05,2937469939.731663,1744816061.111112,Prime
136,2011-05,3129753412.815448,2703751979.292929,Deep subprime
136,2011-05,3295910439.365659,2059502865.151515,Super-prime
137,2011-06,1451607114.221927,1084733787.373738,Subprime
137,2011-06,1671009306.411882,1044479650.50505,Near-prime
137,2011-06,2569916641.584219,1636013657.575758,Prime
137,2011-06,3041779580.077558,2636531730.808081,Deep subprime
137,2011-06,3228491344.372689,2270877327.272727,Super-prime
138,2011-07,1435342074.099099,1266005900.505051,Subprime
138,2011-07,1526937144.651374,1218992145.454545,Near-prime
138,2011-07,2382673576.753052,1976034698.989897,Prime
138,2011-07,2831950974.286693,2581316734.848485,Deep subprime
138,2011-07,2941626273.371732,2784002142.929295,Super-prime
139,2011-08,1409303360.646136,3311468798.9899,Subprime
139,2011-08,1579962520.385277,5076661604.545456,Near-prime
139,2011-08,2703815137.590464,9825838250.505049,Prime
139,2011-08,3058424702.293923,11729369291.9192,Super-prime
139,2011-08,3323038968.68711,5020414912.121212,Deep subprime
140,2011-09,1318271991.428976,2704231466.666665,Subprime
140,2011-09,1457850739.685603,3438849602.020203,Near-prime
140,2011-09,2487247082.161675,5810284549.494949,Prime
140,2011-09,2845003310.853795,4627797728.787879,Deep subprime
140,2011-09,2915996712.06569,6053264494.949493,Super-prime
141,2011-10,1108830435.308801,1245262985.858586,Subprime
141,2011-10,1135423024.644478,1162051038.888889,Near-prime
141,2011-10,2151047382.715003,1903608685.858586,Prime
141,2011-10,2284977032.359962,1875038472.727273,Super-prime
141,2011-10,2430417260.287879,2904488271.212121,Deep subprime
142,2011-11,1275466867.661141,875682633.8383837,Subprime
142,2011-11,1534043505.738089,927480596.4646465,Near-prime
142,2011-11,2556580076.995763,1402365033.333333,Prime
142,2011-11,2847379545.697803,2327561706.565656,Deep subprime
142,2011-11,3163619598.810858,1718653392.424242,Super-prime
143,2011-12,1060403081.873818,576100930.808081,Subprime
143,2011-12,1354195572.255819,637448795.4545455,Near-prime
143,2011-12,2268434034.290883,1103211304.545454,Prime
143,2011-12,2699061047.008489,1926009279.79798,Deep subprime
143,2011-12,3065311240.071955,1550353101.515152,Super-prime
144,2012-01,1318310880.106099,1171187078.787879,Subprime
144,2012-01,1445992697.795847,1119961343.939394,Near-prime
144,2012-01,2464501449.061498,1857667312.626262,Prime
144,2012-01,2680256305.749324,2493666318.181818,Deep subprime
144,2012-01,2819776784.867011,2093796856.565656,Super-prime
145,2012-02,1198996443.751828,782858311.1111112,Subprime
145,2012-02,1458748340.676977,753592087.8787881,Near-prime
145,2012-02,2339012145.502473,1092589187.878788,Prime
145,2012-02,2541759466.511879,1077486163.636364,Super-prime
145,2012-02,2764366867.708295,2389209892.929294,Deep subprime
146,2012-03,1275414364.418097,817170042.4242424,Subprime
146,2012-03,1502542308.722964,711851982.3232324,Near-prime
146,2012-03,2520549719.677218,2175896251.515152,Deep subprime
146,2012-03,2658984819.2063,1075268886.363636,Prime
146,2012-03,2864550661.810336,1133758894.949495,Super-prime
147,2012-04,1279420885.37725,889765533.8383839,Subprime
147,2012-04,1637161688.552025,819010708.0808079,Near-prime
147,2012-04,2570974155.182286,2186240584.848485,Deep subprime
147,2012-04,2673067235.92432,1117861567.676767,Prime
147,2012-04,2765744453.051546,1059032252.525253,Super-prime
148,2012-05,1533279849.552436,1192473486.868687,Subprime
148,2012-05,1658644945.964148,1081289333.838384,Near-prime
148,2012-05,2839387825.37902,2495405271.717172,Deep subprime
148,2012-05,2921155421.217278,1758282957.575758,Prime
148,2012-05,3184787167.987364,2109591797.474747,Super-prime
149,2012-06,1537276977.93541,1166043227.272727,Subprime
149,2012-06,1738816261.999965,1107419550,Near-prime
149,2012-06,2845335423.820581,2489144367.676767,Deep subprime
149,2012-06,3062709770.298524,1941759055.050505,Prime
149,2012-06,3553255535.268262,2554929950,Super-prime
150,2012-07,1811512237.773243,1571638426.262626,Subprime
150,2012-07,2131151061.761854,1710457885.353535,Near-prime
150,2012-07,2807197694.597878,2520309875.757576,Deep subprime
150,2012-07,3130346531.281629,2617552547.474747,Prime
150,2012-07,3504065218.83618,3476315146.969696,Super-prime
151,2012-08,1403514428.584961,3260235171.717172,Subprime
151,2012-08,1626256201.391618,5270117353.535355,Near-prime
151,2012-08,2476841347.4647,3720587491.919191,Deep subprime
151,2012-08,2676669550.263202,9847607025.757568,Prime
151,2012-08,3001676816.333431,11333998317.17172,Super-prime
152,2012-09,1312760062.444571,2670107569.191921,Subprime
152,2012-09,1388447390.990694,3237949850.000001,Near-prime
152,2012-09,2190489758.867519,5076238552.020202,Prime
152,2012-09,2490866772.070279,4035647740.909091,Deep subprime
152,2012-09,2705872900.904999,5382686416.161613,Super-prime
153,2012-10,1339599194.056662,1464957296.464646,Subprime
153,2012-10,1588748301.937553,1571172177.777779,Near-prime
153,2012-10,2550729353.351321,3006361708.585858,Deep subprime
153,2012-10,2737369417.123377,2335733111.616161,Prime
153,2012-10,2961033344.69014,2363871540.90909,Super-prime
154,2012-11,1172283076.774642,817583887.8787879,Subprime
154,2012-11,1233804725.199456,737407747.9797977,Near-prime
154,2012-11,2431101685.324443,1953136892.929293,Deep subprime
154,2012-11,2497361663.250106,1342425229.292929,Prime
154,2012-11,2806364751.300791,1565340281.313131,Super-prime
155,2012-12,1245928918.504401,686624532.3232325,Subprime
155,2012-12,1438174190.518896,684213646.9696971,Near-prime
155,2012-12,2141016320.381186,1532495379.292929,Deep subprime
155,2012-12,2498206830.897152,1316144085.858586,Super-prime
155,2012-12,2588941595.338395,1272870834.848485,Prime
156,2013-01,1315177312.902384,1170689825.757576,Subprime
156,2013-01,1406582335.269758,1081331353.030303,Near-prime
156,2013-01,2494827407.716182,1877019886.363637,Prime
156,2013-01,2516854846.645646,2309132555.050505,Deep subprime
156,2013-01,2867291946.231769,2175174067.171715,Super-prime
157,2013-02,1237959728.45276,824115149.4949496,Subprime
157,2013-02,1326775053.190087,686823870.7070709,Near-prime
157,2013-02,2429544490.494173,2140374444.444445,Deep subprime
157,2013-02,2507271694.473843,1175056145.959596,Prime
157,2013-02,2796152347.501584,1235444225.757576,Super-prime
158,2013-03,1164679952.196801,762397424.7474748,Subprime
158,2013-03,1325674915.828724,645586637.3737376,Near-prime
158,2013-03,1997144868.430363,818756808.5858586,Prime
158,2013-03,2101466316.523306,855953592.4242426,Super-prime
158,2013-03,2301732044.56085,2041422976.262626,Deep subprime
159,2013-04,1142142052.332355,584316058.0808084,Near-prime
159,2013-04,1200665533.591628,852321814.1414142,Subprime
159,2013-04,2067391506.748329,876845480.8080809,Prime
159,2013-04,2175157728.614805,873948171.7171721,Super-prime
159,2013-04,2371488200.732503,2055578605.050506,Deep subprime
160,2013-05,1121709442.179505,888458714.6464649,Subprime
160,2013-05,1319337140.051153,875115849.4949497,Near-prime
160,2013-05,2199582214.13024,1333663318.181818,Prime
160,2013-05,2221697520.00212,1521716929.79798,Super-prime
160,2013-05,2518635068.905105,2223054028.787879,Deep subprime
161,2013-06,1182028000.52748,767509300.5050505,Near-prime
161,2013-06,1796091937.571264,1148446139.39394,Prime
161,2013-06,1959264568.178091,1721809416.161617,Deep subprime
161,2013-06,2070221041.188011,1480273875.757576,Super-prime
161,2013-06,999353963.7542866,772885419.1919193,Subprime
162,2013-07,1072444014.571901,910351818.1818181,Subprime
162,2013-07,1332535785.147841,1073425787.373738,Near-prime
162,2013-07,2008295289.196269,1785305958.080808,Deep subprime
